ts,pid,cpu_perc,rss_mb,command
1783373966,12692,0.2,7241.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373966,58925,0.0,9.5,/opt/homebrew/opt/ollama/bin/ollama
1783373968,12692,0.9,7317.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373968,58925,2.5,65.9,/opt/homebrew/opt/ollama/bin/ollama
1783373970,12692,0.2,7393.3,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373970,58925,0.0,15.4,/opt/homebrew/opt/ollama/bin/ollama
1783373972,12692,3.7,7341.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373972,58925,0.0,12.9,/opt/homebrew/opt/ollama/bin/ollama
1783373974,12692,4.3,7268.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373974,58925,0.0,12.1,/opt/homebrew/opt/ollama/bin/ollama
1783373976,12692,3.7,7267.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373976,58925,0.0,11.7,/opt/homebrew/opt/ollama/bin/ollama
1783373978,12692,3.3,7265.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373978,58925,0.0,7.9,/opt/homebrew/opt/ollama/bin/ollama
1783373981,12692,3.9,7266.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373981,58925,0.0,8.9,/opt/homebrew/opt/ollama/bin/ollama
1783373983,12692,3.3,7269.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373983,58925,0.0,8.8,/opt/homebrew/opt/ollama/bin/ollama
1783373985,12692,2.5,7271.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373985,58925,0.6,14.5,/opt/homebrew/opt/ollama/bin/ollama
1783373987,12692,0.1,7375.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373987,58925,0.0,71.3,/opt/homebrew/opt/ollama/bin/ollama
1783373989,12692,4.1,7384.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373989,58925,0.1,70.0,/opt/homebrew/opt/ollama/bin/ollama
1783373991,12692,3.5,7385.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373991,58925,0.0,57.7,/opt/homebrew/opt/ollama/bin/ollama
1783373993,12692,3.6,7268.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373993,58925,28.6,55.8,/opt/homebrew/opt/ollama/bin/ollama
1783373995,12692,0.0,7380.3,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373995,58925,0.0,64.3,/opt/homebrew/opt/ollama/bin/ollama
1783373997,12692,4.0,7268.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373997,58925,0.1,12.5,/opt/homebrew/opt/ollama/bin/ollama
1783373999,12692,4.1,7268.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373999,58925,0.0,12.8,/opt/homebrew/opt/ollama/bin/ollama
1783374001,12692,4.3,7266.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374001,58925,0.0,11.9,/opt/homebrew/opt/ollama/bin/ollama
1783374003,12692,0.6,7552.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374003,58925,0.5,67.6,/opt/homebrew/opt/ollama/bin/ollama
1783374005,12692,0.0,7421.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374005,58925,0.0,11.2,/opt/homebrew/opt/ollama/bin/ollama
1783374007,12692,3.9,7345.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374007,58925,0.0,13.0,/opt/homebrew/opt/ollama/bin/ollama
1783374009,12692,3.8,7341.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374009,58925,0.0,12.8,/opt/homebrew/opt/ollama/bin/ollama
1783374011,12692,3.7,7269.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374011,58925,0.0,12.7,/opt/homebrew/opt/ollama/bin/ollama
1783374013,12692,3.4,7269.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374013,58925,0.0,12.5,/opt/homebrew/opt/ollama/bin/ollama
1783374015,12692,4.0,7270.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374015,58925,0.5,14.1,/opt/homebrew/opt/ollama/bin/ollama
1783374017,12692,0.1,7247.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374017,58925,0.0,9.9,/opt/homebrew/opt/ollama/bin/ollama
1783374019,12692,0.1,7247.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374019,58925,38.1,61.3,/opt/homebrew/opt/ollama/bin/ollama
1783374021,12692,0.1,7397.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374021,58925,0.0,62.9,/opt/homebrew/opt/ollama/bin/ollama
1783374023,12692,0.0,7279.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374023,58925,0.0,11.2,/opt/homebrew/opt/ollama/bin/ollama
1783374025,12692,0.4,7278.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374025,58925,0.0,11.0,/opt/homebrew/opt/ollama/bin/ollama
1783374028,12692,2.8,7281.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374028,58925,0.0,11.0,/opt/homebrew/opt/ollama/bin/ollama
1783374030,12692,0.0,7259.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374030,58925,0.0,10.0,/opt/homebrew/opt/ollama/bin/ollama
1783374032,12692,0.1,7253.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374032,58925,0.0,3.3,/opt/homebrew/opt/ollama/bin/ollama
1783374034,12692,6.0,7270.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374034,58925,0.5,2.4,/opt/homebrew/opt/ollama/bin/ollama
1783374036,12692,3.8,7268.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374036,58925,0.1,6.3,/opt/homebrew/opt/ollama/bin/ollama
1783374038,12692,3.3,7267.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374038,58925,0.1,6.0,/opt/homebrew/opt/ollama/bin/ollama
1783374040,12692,3.5,7267.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374040,58925,0.1,5.6,/opt/homebrew/opt/ollama/bin/ollama
1783374042,12692,2.8,7267.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374042,58925,0.0,5.5,/opt/homebrew/opt/ollama/bin/ollama
1783374044,12692,4.0,7268.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374044,58925,0.0,6.8,/opt/homebrew/opt/ollama/bin/ollama
1783374046,12692,3.8,7267.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374046,58925,0.0,6.4,/opt/homebrew/opt/ollama/bin/ollama
1783374048,12692,3.1,7267.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374048,58925,0.0,6.0,/opt/homebrew/opt/ollama/bin/ollama
1783374050,12692,3.0,7268.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374050,58925,0.0,6.7,/opt/homebrew/opt/ollama/bin/ollama
1783374052,12692,4.0,7537.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374052,58925,1.2,12.0,/opt/homebrew/opt/ollama/bin/ollama
1783374054,12692,0.8,7260.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374054,58925,0.0,9.8,/opt/homebrew/opt/ollama/bin/ollama
1783374056,12692,6.3,7268.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374056,58925,0.2,6.7,/opt/homebrew/opt/ollama/bin/ollama
1783374058,12692,3.8,7268.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374058,58925,0.0,5.7,/opt/homebrew/opt/ollama/bin/ollama
1783374060,12692,0.2,7249.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374060,58925,0.0,6.2,/opt/homebrew/opt/ollama/bin/ollama
1783374062,12692,0.3,7249.3,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374062,58925,0.0,6.2,/opt/homebrew/opt/ollama/bin/ollama
1783374064,12692,0.8,7395.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374064,58925,0.6,69.2,/opt/homebrew/opt/ollama/bin/ollama
1783374067,12692,1.3,7278.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374067,58925,0.0,12.0,/opt/homebrew/opt/ollama/bin/ollama
1783374069,12692,0.0,7277.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374069,58925,0.0,11.0,/opt/homebrew/opt/ollama/bin/ollama
1783374071,12692,0.1,7278.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374071,58925,0.0,11.0,/opt/homebrew/opt/ollama/bin/ollama
1783374073,12692,0.1,7254.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374073,58925,0.0,9.7,/opt/homebrew/opt/ollama/bin/ollama
1783374075,12692,0.0,7277.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374075,58925,0.0,10.8,/opt/homebrew/opt/ollama/bin/ollama
1783374077,12692,2.9,7283.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374077,58925,0.0,11.4,/opt/homebrew/opt/ollama/bin/ollama
1783374079,12692,3.8,7270.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374079,58925,0.0,12.2,/opt/homebrew/opt/ollama/bin/ollama
1783374081,12692,3.5,7271.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374081,58925,0.0,12.0,/opt/homebrew/opt/ollama/bin/ollama
1783374083,12692,3.8,7269.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374083,58925,0.0,12.3,/opt/homebrew/opt/ollama/bin/ollama
1783374085,12692,3.1,7267.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374085,58925,0.1,7.6,/opt/homebrew/opt/ollama/bin/ollama
1783374087,12692,4.4,7268.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374087,58925,0.2,6.3,/opt/homebrew/opt/ollama/bin/ollama
1783374089,12692,4.0,7267.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374089,58925,0.1,6.1,/opt/homebrew/opt/ollama/bin/ollama
1783374091,12692,0.5,7254.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374091,58925,71.3,71.8,/opt/homebrew/opt/ollama/bin/ollama
1783374093,12692,0.1,7254.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374093,58925,0.0,9.8,/opt/homebrew/opt/ollama/bin/ollama
1783374095,12692,0.1,7254.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374095,58925,0.0,8.3,/opt/homebrew/opt/ollama/bin/ollama
1783374097,12692,4.3,7270.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374097,58925,0.0,10.1,/opt/homebrew/opt/ollama/bin/ollama
1783374099,12692,3.6,7270.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374099,58925,0.0,10.4,/opt/homebrew/opt/ollama/bin/ollama
1783374101,12692,4.5,7268.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374101,58925,0.1,9.6,/opt/homebrew/opt/ollama/bin/ollama
1783374103,12692,5.2,7267.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374103,58925,0.5,9.5,/opt/homebrew/opt/ollama/bin/ollama
1783374105,12692,3.9,7268.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783374105,58925,0.0,9.1,/opt/homebrew/opt/ollama/bin/ollama
