ts,pid,cpu_perc,rss_mb,command
1783331237,58925,0.0,8.5,/opt/homebrew/opt/ollama/bin/ollama
1783331237,67267,0.2,735.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331239,58925,36.8,63.4,/opt/homebrew/opt/ollama/bin/ollama
1783331239,67267,14.0,816.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331242,58925,0.0,6.6,/opt/homebrew/opt/ollama/bin/ollama
1783331242,67267,0.1,744.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331244,58925,0.0,4.8,/opt/homebrew/opt/ollama/bin/ollama
1783331244,67267,0.3,754.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331246,58925,0.0,6.7,/opt/homebrew/opt/ollama/bin/ollama
1783331246,67267,1.4,769.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331248,58925,0.2,8.4,/opt/homebrew/opt/ollama/bin/ollama
1783331248,67267,5.5,767.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331250,58925,0.1,8.7,/opt/homebrew/opt/ollama/bin/ollama
1783331250,67267,4.7,768.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331252,58925,0.0,8.8,/opt/homebrew/opt/ollama/bin/ollama
1783331252,67267,5.2,768.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331254,58925,0.1,7.6,/opt/homebrew/opt/ollama/bin/ollama
1783331254,67267,4.3,768.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331256,58925,0.0,7.6,/opt/homebrew/opt/ollama/bin/ollama
1783331256,67267,4.8,768.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331258,58925,0.1,73.1,/opt/homebrew/opt/ollama/bin/ollama
1783331258,67267,0.1,883.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331260,58925,0.1,70.2,/opt/homebrew/opt/ollama/bin/ollama
1783331260,67267,3.8,888.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331262,58925,0.1,14.3,/opt/homebrew/opt/ollama/bin/ollama
1783331262,67267,5.3,769.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331264,58925,0.0,13.5,/opt/homebrew/opt/ollama/bin/ollama
1783331264,67267,4.3,769.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331266,58925,16.6,73.6,/opt/homebrew/opt/ollama/bin/ollama
1783331266,67267,4.1,888.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331268,58925,0.0,67.0,/opt/homebrew/opt/ollama/bin/ollama
1783331268,67267,0.0,880.3,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331270,58925,26.6,70.4,/opt/homebrew/opt/ollama/bin/ollama
1783331270,67267,4.7,768.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331272,58925,0.1,17.3,/opt/homebrew/opt/ollama/bin/ollama
1783331272,67267,4.9,810.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331274,58925,0.0,13.4,/opt/homebrew/opt/ollama/bin/ollama
1783331274,67267,4.8,769.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331276,58925,5.9,73.1,/opt/homebrew/opt/ollama/bin/ollama
1783331276,67267,0.2,889.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331279,58925,0.0,66.1,/opt/homebrew/opt/ollama/bin/ollama
1783331279,67267,0.6,885.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331281,58925,0.1,13.2,/opt/homebrew/opt/ollama/bin/ollama
1783331281,67267,5.2,769.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331283,58925,0.1,13.0,/opt/homebrew/opt/ollama/bin/ollama
1783331283,67267,4.1,769.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331285,58925,0.0,15.5,/opt/homebrew/opt/ollama/bin/ollama
1783331285,67267,1.0,884.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331287,58925,0.0,11.2,/opt/homebrew/opt/ollama/bin/ollama
1783331287,67267,0.0,860.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331289,58925,0.1,13.6,/opt/homebrew/opt/ollama/bin/ollama
1783331289,67267,4.5,769.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331291,58925,0.0,13.3,/opt/homebrew/opt/ollama/bin/ollama
1783331291,67267,4.6,770.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331293,58925,0.1,13.1,/opt/homebrew/opt/ollama/bin/ollama
1783331293,67267,5.2,770.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331295,58925,0.1,13.7,/opt/homebrew/opt/ollama/bin/ollama
1783331295,67267,4.3,770.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
