ts,pid,cpu_perc,rss_mb,command
1783367412,58925,0.0,9.3,/opt/homebrew/opt/ollama/bin/ollama
1783367412,91611,0.1,205.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367414,58925,4.7,55.7,/opt/homebrew/opt/ollama/bin/ollama
1783367414,91611,3.3,341.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367416,58925,0.0,11.4,/opt/homebrew/opt/ollama/bin/ollama
1783367416,91611,0.3,296.3,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367418,58925,0.0,12.2,/opt/homebrew/opt/ollama/bin/ollama
1783367418,91611,3.5,246.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367420,58925,0.0,11.4,/opt/homebrew/opt/ollama/bin/ollama
1783367420,91611,4.6,224.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367422,58925,0.0,11.7,/opt/homebrew/opt/ollama/bin/ollama
1783367422,91611,3.9,225.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367424,58925,0.0,11.4,/opt/homebrew/opt/ollama/bin/ollama
1783367424,91611,4.1,224.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367426,58925,9.7,55.5,/opt/homebrew/opt/ollama/bin/ollama
1783367426,91611,1.8,227.3,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367428,58925,0.0,9.7,/opt/homebrew/opt/ollama/bin/ollama
1783367428,91611,0.1,211.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367430,58925,0.1,12.2,/opt/homebrew/opt/ollama/bin/ollama
1783367430,91611,4.7,226.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367433,58925,0.0,12.0,/opt/homebrew/opt/ollama/bin/ollama
1783367433,91611,3.8,225.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367435,58925,0.0,12.0,/opt/homebrew/opt/ollama/bin/ollama
1783367435,91611,3.5,224.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367437,58925,0.0,13.1,/opt/homebrew/opt/ollama/bin/ollama
1783367437,91611,0.0,302.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367439,58925,0.6,12.2,/opt/homebrew/opt/ollama/bin/ollama
1783367439,91611,5.0,224.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367441,58925,0.0,11.8,/opt/homebrew/opt/ollama/bin/ollama
1783367441,91611,4.6,224.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367443,58925,0.2,13.4,/opt/homebrew/opt/ollama/bin/ollama
1783367443,91611,4.0,227.3,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367445,58925,0.0,25.6,/opt/homebrew/opt/ollama/bin/ollama
1783367445,91611,0.0,330.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367447,58925,0.1,12.1,/opt/homebrew/opt/ollama/bin/ollama
1783367447,91611,4.5,226.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367449,58925,0.0,12.4,/opt/homebrew/opt/ollama/bin/ollama
1783367449,91611,4.7,227.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367451,58925,0.1,11.0,/opt/homebrew/opt/ollama/bin/ollama
1783367451,91611,4.7,222.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367453,58925,0.0,9.8,/opt/homebrew/opt/ollama/bin/ollama
1783367453,91611,0.2,206.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367455,58925,0.0,9.8,/opt/homebrew/opt/ollama/bin/ollama
1783367455,91611,0.1,206.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367457,58925,12.5,71.8,/opt/homebrew/opt/ollama/bin/ollama
1783367457,91611,12.7,354.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367459,58925,0.0,13.4,/opt/homebrew/opt/ollama/bin/ollama
1783367459,91611,0.0,310.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367461,58925,0.0,10.6,/opt/homebrew/opt/ollama/bin/ollama
1783367461,91611,0.0,235.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367463,58925,0.0,10.5,/opt/homebrew/opt/ollama/bin/ollama
1783367463,91611,0.0,235.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367465,58925,0.0,10.5,/opt/homebrew/opt/ollama/bin/ollama
1783367465,91611,0.3,236.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783367467,58925,0.0,10.5,/opt/homebrew/opt/ollama/bin/ollama
