ts,pid,cpu_perc,rss_mb,command
1783368099,58925,0.0,10.4,/opt/homebrew/opt/ollama/bin/ollama
1783368099,95547,0.1,5555.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368101,58925,0.9,68.5,/opt/homebrew/opt/ollama/bin/ollama
1783368101,95547,0.3,5645.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368103,58925,0.0,68.5,/opt/homebrew/opt/ollama/bin/ollama
1783368103,95547,0.1,5711.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368105,58925,0.0,68.5,/opt/homebrew/opt/ollama/bin/ollama
1783368105,95547,3.6,5715.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368107,58925,0.0,13.5,/opt/homebrew/opt/ollama/bin/ollama
1783368107,95547,4.4,5691.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368109,58925,0.0,13.6,/opt/homebrew/opt/ollama/bin/ollama
1783368109,95547,3.5,5652.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368112,58925,0.0,13.7,/opt/homebrew/opt/ollama/bin/ollama
1783368112,95547,4.4,5586.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368114,58925,0.1,14.1,/opt/homebrew/opt/ollama/bin/ollama
1783368114,95547,3.7,5586.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368116,58925,0.0,13.8,/opt/homebrew/opt/ollama/bin/ollama
1783368116,95547,3.7,5589.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368118,58925,0.0,14.0,/opt/homebrew/opt/ollama/bin/ollama
1783368118,95547,3.8,5589.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368120,58925,4.7,74.1,/opt/homebrew/opt/ollama/bin/ollama
1783368120,95547,1.0,5705.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368122,58925,0.0,70.8,/opt/homebrew/opt/ollama/bin/ollama
1783368122,95547,3.1,5704.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368124,58925,0.0,69.9,/opt/homebrew/opt/ollama/bin/ollama
1783368124,95547,4.0,5703.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368126,58925,0.0,69.5,/opt/homebrew/opt/ollama/bin/ollama
1783368126,95547,4.1,5703.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368128,58925,6.4,74.2,/opt/homebrew/opt/ollama/bin/ollama
1783368128,95547,2.3,5935.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368130,58925,0.0,74.2,/opt/homebrew/opt/ollama/bin/ollama
1783368130,95547,0.4,5935.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368132,58925,0.0,37.8,/opt/homebrew/opt/ollama/bin/ollama
1783368132,95547,2.2,5831.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368134,58925,0.0,32.1,/opt/homebrew/opt/ollama/bin/ollama
1783368134,95547,3.6,5825.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368136,58925,0.0,30.2,/opt/homebrew/opt/ollama/bin/ollama
1783368136,95547,4.1,5824.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368138,58925,0.4,73.1,/opt/homebrew/opt/ollama/bin/ollama
1783368138,95547,0.0,5841.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368140,58925,0.0,73.1,/opt/homebrew/opt/ollama/bin/ollama
1783368140,95547,4.5,5841.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368142,58925,0.0,73.1,/opt/homebrew/opt/ollama/bin/ollama
1783368142,95547,3.5,5824.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368144,58925,0.0,69.2,/opt/homebrew/opt/ollama/bin/ollama
1783368144,95547,3.6,5703.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368146,58925,0.0,69.2,/opt/homebrew/opt/ollama/bin/ollama
1783368146,95547,3.1,5703.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368148,58925,0.0,68.9,/opt/homebrew/opt/ollama/bin/ollama
1783368148,95547,0.2,5703.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368150,58925,0.0,68.9,/opt/homebrew/opt/ollama/bin/ollama
1783368150,95547,0.1,5698.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368152,58925,0.0,71.8,/opt/homebrew/opt/ollama/bin/ollama
1783368152,95547,0.0,5715.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368154,58925,0.0,16.4,/opt/homebrew/opt/ollama/bin/ollama
1783368154,95547,0.0,5673.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368156,58925,0.0,11.4,/opt/homebrew/opt/ollama/bin/ollama
1783368156,95547,1.9,5596.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368158,58925,0.0,10.9,/opt/homebrew/opt/ollama/bin/ollama
1783368158,95547,0.0,5595.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783368161,58925,0.0,10.9,/opt/homebrew/opt/ollama/bin/ollama
1783368161,95547,0.0,5596.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
