ts,pid,cpu_perc,rss_mb,command
1783329729,58925,0.0,43.7,/opt/homebrew/opt/ollama/bin/ollama
1783329729,60034,0.1,242.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329729,62446,0.1,1387.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329731,58925,0.3,53.9,/opt/homebrew/opt/ollama/bin/ollama
1783329731,60034,0.0,242.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329731,62446,10.2,1400.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329733,58925,24.1,55.7,/opt/homebrew/opt/ollama/bin/ollama
1783329733,60034,0.0,242.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329733,62446,1.2,1416.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329736,58925,0.0,55.7,/opt/homebrew/opt/ollama/bin/ollama
1783329736,60034,0.1,242.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329736,62446,0.2,1416.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329738,58925,0.0,55.7,/opt/homebrew/opt/ollama/bin/ollama
1783329738,60034,0.2,242.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329738,62446,0.1,1415.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329740,58925,0.3,56.2,/opt/homebrew/opt/ollama/bin/ollama
1783329740,60034,0.0,242.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329740,62446,9.3,1435.3,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329742,58925,1.9,55.4,/opt/homebrew/opt/ollama/bin/ollama
1783329742,60034,0.0,242.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329742,62446,11.2,1484.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329744,58925,0.1,55.4,/opt/homebrew/opt/ollama/bin/ollama
1783329744,60034,0.1,242.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329744,62446,1.4,1484.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329746,58925,0.0,55.4,/opt/homebrew/opt/ollama/bin/ollama
1783329746,60034,0.1,242.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329746,62446,0.1,1484.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329748,58925,3.6,59.1,/opt/homebrew/opt/ollama/bin/ollama
1783329748,60034,0.0,242.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329748,62446,0.6,1484.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329750,58925,0.3,59.1,/opt/homebrew/opt/ollama/bin/ollama
1783329750,60034,0.0,242.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329750,62446,9.0,1484.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329752,58925,0.0,59.1,/opt/homebrew/opt/ollama/bin/ollama
1783329752,60034,0.1,242.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329752,62446,0.8,1519.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329754,58925,0.0,59.1,/opt/homebrew/opt/ollama/bin/ollama
1783329754,60034,0.1,242.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329754,62446,0.1,1517.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329756,58925,0.3,59.2,/opt/homebrew/opt/ollama/bin/ollama
1783329756,60034,0.0,242.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329756,62446,8.3,1535.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329758,58925,49.1,57.2,/opt/homebrew/opt/ollama/bin/ollama
1783329758,60034,0.0,242.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329758,62446,7.0,1521.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329760,58925,0.7,57.2,/opt/homebrew/opt/ollama/bin/ollama
1783329760,60034,0.0,242.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
