ts,pid,cpu_perc,rss_mb,command
1783373315,10681,0.1,2448.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373315,58925,0.0,57.4,/opt/homebrew/opt/ollama/bin/ollama
1783373317,10681,0.0,2477.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373317,58925,0.4,61.1,/opt/homebrew/opt/ollama/bin/ollama
1783373319,10681,0.3,2480.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373319,58925,0.0,61.1,/opt/homebrew/opt/ollama/bin/ollama
1783373321,10681,0.1,2480.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373321,58925,0.0,61.1,/opt/homebrew/opt/ollama/bin/ollama
1783373324,10681,0.1,2548.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373324,58925,0.7,62.3,/opt/homebrew/opt/ollama/bin/ollama
1783373326,10681,0.9,2550.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373326,58925,0.0,62.3,/opt/homebrew/opt/ollama/bin/ollama
1783373328,10681,6.8,2551.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373328,58925,0.0,62.3,/opt/homebrew/opt/ollama/bin/ollama
1783373330,10681,6.6,2551.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373330,58925,0.1,62.3,/opt/homebrew/opt/ollama/bin/ollama
1783373332,10681,2.8,2695.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373332,58925,3.3,61.5,/opt/homebrew/opt/ollama/bin/ollama
1783373334,10681,0.1,2695.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373334,58925,0.0,61.5,/opt/homebrew/opt/ollama/bin/ollama
1783373336,10681,1.7,2695.3,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373336,58925,14.2,62.3,/opt/homebrew/opt/ollama/bin/ollama
1783373338,10681,0.7,2695.3,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373338,58925,0.0,62.3,/opt/homebrew/opt/ollama/bin/ollama
1783373340,10681,3.3,2823.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373340,58925,49.1,62.5,/opt/homebrew/opt/ollama/bin/ollama
1783373342,10681,0.8,2823.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373342,58925,0.0,62.5,/opt/homebrew/opt/ollama/bin/ollama
1783373344,10681,0.1,2823.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373344,58925,0.0,62.5,/opt/homebrew/opt/ollama/bin/ollama
1783373346,10681,0.5,2874.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373346,58925,3.7,63.3,/opt/homebrew/opt/ollama/bin/ollama
1783373348,10681,1.6,2872.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373348,58925,0.0,56.6,/opt/homebrew/opt/ollama/bin/ollama
1783373350,10681,5.8,2872.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373350,58925,0.1,56.6,/opt/homebrew/opt/ollama/bin/ollama
1783373352,10681,0.9,2987.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373352,58925,0.2,57.7,/opt/homebrew/opt/ollama/bin/ollama
1783373354,10681,0.1,2984.3,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373354,58925,0.0,57.7,/opt/homebrew/opt/ollama/bin/ollama
1783373356,10681,1.5,3022.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373356,58925,7.2,57.8,/opt/homebrew/opt/ollama/bin/ollama
1783373358,10681,0.0,3022.3,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373358,58925,0.0,56.9,/opt/homebrew/opt/ollama/bin/ollama
1783373360,10681,7.5,3018.3,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373360,58925,0.2,55.7,/opt/homebrew/opt/ollama/bin/ollama
1783373362,10681,8.3,3110.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373362,58925,1.2,56.4,/opt/homebrew/opt/ollama/bin/ollama
1783373364,10681,1.2,3169.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373364,58925,0.0,56.8,/opt/homebrew/opt/ollama/bin/ollama
1783373366,10681,0.0,3169.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373366,58925,0.0,56.8,/opt/homebrew/opt/ollama/bin/ollama
1783373369,10681,7.0,3169.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373369,58925,0.2,56.8,/opt/homebrew/opt/ollama/bin/ollama
1783373371,10681,9.1,3338.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373371,58925,9.0,52.3,/opt/homebrew/opt/ollama/bin/ollama
1783373373,10681,0.2,3338.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373373,58925,0.0,52.3,/opt/homebrew/opt/ollama/bin/ollama
1783373375,10681,0.2,3338.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373375,58925,0.0,52.3,/opt/homebrew/opt/ollama/bin/ollama
1783373377,10681,0.0,3396.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373377,58925,0.0,52.5,/opt/homebrew/opt/ollama/bin/ollama
1783373379,10681,0.1,3392.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373379,58925,0.0,52.5,/opt/homebrew/opt/ollama/bin/ollama
1783373381,10681,5.7,3387.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373381,58925,0.0,52.5,/opt/homebrew/opt/ollama/bin/ollama
1783373383,10681,6.5,3387.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373383,58925,0.1,52.5,/opt/homebrew/opt/ollama/bin/ollama
1783373385,10681,3.3,3572.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373385,58925,0.1,52.8,/opt/homebrew/opt/ollama/bin/ollama
1783373387,10681,0.1,3572.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373387,58925,0.0,52.0,/opt/homebrew/opt/ollama/bin/ollama
1783373389,10681,2.3,3626.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373389,58925,11.8,52.4,/opt/homebrew/opt/ollama/bin/ollama
1783373391,10681,0.0,3627.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373391,58925,0.0,52.4,/opt/homebrew/opt/ollama/bin/ollama
1783373393,10681,0.0,3628.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373393,58925,0.0,52.3,/opt/homebrew/opt/ollama/bin/ollama
1783373395,10681,0.0,3633.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373395,58925,0.0,52.3,/opt/homebrew/opt/ollama/bin/ollama
1783373397,10681,0.0,3635.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373397,58925,0.0,52.3,/opt/homebrew/opt/ollama/bin/ollama
1783373399,10681,0.0,3635.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373399,58925,0.0,52.3,/opt/homebrew/opt/ollama/bin/ollama
1783373401,10681,0.2,3968.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373401,58925,0.1,51.0,/opt/homebrew/opt/ollama/bin/ollama
1783373403,10681,2.0,3919.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373403,58925,54.2,51.2,/opt/homebrew/opt/ollama/bin/ollama
1783373405,10681,0.3,3866.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373405,58925,4.3,51.8,/opt/homebrew/opt/ollama/bin/ollama
1783373407,10681,4.6,3893.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373407,58925,42.4,54.2,/opt/homebrew/opt/ollama/bin/ollama
1783373409,10681,6.4,3779.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373409,58925,0.0,53.8,/opt/homebrew/opt/ollama/bin/ollama
1783373412,10681,5.6,3790.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373412,58925,38.7,54.1,/opt/homebrew/opt/ollama/bin/ollama
1783373414,10681,0.0,3790.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373414,58925,0.0,53.9,/opt/homebrew/opt/ollama/bin/ollama
1783373416,10681,1.0,3745.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373416,58925,0.0,53.8,/opt/homebrew/opt/ollama/bin/ollama
