ts,pid,cpu_perc,rss_mb,command
1783334831,58925,0.0,46.6,/opt/homebrew/opt/ollama/bin/ollama
1783334831,71860,0.1,3069.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334833,58925,0.0,47.2,/opt/homebrew/opt/ollama/bin/ollama
1783334833,71860,0.1,3087.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334835,58925,10.2,47.5,/opt/homebrew/opt/ollama/bin/ollama
1783334835,71860,6.8,3088.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334837,58925,4.0,49.7,/opt/homebrew/opt/ollama/bin/ollama
1783334837,71860,5.0,3088.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334839,58925,0.0,49.7,/opt/homebrew/opt/ollama/bin/ollama
1783334839,71860,0.1,3088.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334841,58925,17.1,49.7,/opt/homebrew/opt/ollama/bin/ollama
1783334841,71860,5.0,3093.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334844,58925,0.0,49.7,/opt/homebrew/opt/ollama/bin/ollama
1783334844,71860,0.0,3094.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334846,58925,0.0,49.7,/opt/homebrew/opt/ollama/bin/ollama
1783334846,71860,0.2,3095.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334848,58925,0.1,49.7,/opt/homebrew/opt/ollama/bin/ollama
1783334848,71860,5.9,3095.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334850,58925,0.2,49.7,/opt/homebrew/opt/ollama/bin/ollama
1783334850,71860,5.2,3095.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334852,58925,0.2,45.9,/opt/homebrew/opt/ollama/bin/ollama
1783334852,71860,6.0,3095.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334854,58925,0.0,46.8,/opt/homebrew/opt/ollama/bin/ollama
1783334854,71860,0.4,3334.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334856,58925,0.0,46.8,/opt/homebrew/opt/ollama/bin/ollama
1783334856,71860,0.1,3334.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334858,58925,1.3,47.2,/opt/homebrew/opt/ollama/bin/ollama
1783334858,71860,0.2,3335.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334860,58925,0.0,47.2,/opt/homebrew/opt/ollama/bin/ollama
1783334860,71860,0.3,3335.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334862,58925,0.0,47.2,/opt/homebrew/opt/ollama/bin/ollama
1783334862,71860,0.0,3335.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334864,58925,0.1,47.2,/opt/homebrew/opt/ollama/bin/ollama
1783334864,71860,5.9,3335.3,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334866,58925,0.2,47.2,/opt/homebrew/opt/ollama/bin/ollama
1783334866,71860,5.5,3335.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334868,58925,0.2,47.2,/opt/homebrew/opt/ollama/bin/ollama
1783334868,71860,5.0,3335.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334870,58925,0.7,47.2,/opt/homebrew/opt/ollama/bin/ollama
1783334870,71860,6.3,3578.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334872,58925,2.2,47.2,/opt/homebrew/opt/ollama/bin/ollama
1783334872,71860,0.5,3580.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334874,58925,0.0,47.2,/opt/homebrew/opt/ollama/bin/ollama
1783334874,71860,0.3,3581.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334876,58925,0.0,47.2,/opt/homebrew/opt/ollama/bin/ollama
1783334876,71860,0.0,3582.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334878,58925,0.0,47.2,/opt/homebrew/opt/ollama/bin/ollama
1783334878,71860,0.3,3582.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334880,58925,0.2,46.2,/opt/homebrew/opt/ollama/bin/ollama
1783334880,71860,5.5,3466.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334882,58925,0.0,46.2,/opt/homebrew/opt/ollama/bin/ollama
1783334882,71860,4.6,3466.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334884,58925,0.1,46.2,/opt/homebrew/opt/ollama/bin/ollama
1783334884,71860,4.8,3466.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334886,58925,0.0,47.1,/opt/homebrew/opt/ollama/bin/ollama
1783334886,71860,0.1,3766.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334888,58925,0.0,43.5,/opt/homebrew/opt/ollama/bin/ollama
1783334888,71860,0.6,3542.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334891,58925,0.0,25.1,/opt/homebrew/opt/ollama/bin/ollama
1783334891,71860,0.1,3538.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334893,58925,6.6,45.1,/opt/homebrew/opt/ollama/bin/ollama
1783334893,71860,3.7,3544.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334895,58925,0.0,45.1,/opt/homebrew/opt/ollama/bin/ollama
1783334895,71860,0.0,3545.3,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334897,58925,0.0,30.8,/opt/homebrew/opt/ollama/bin/ollama
1783334897,71860,0.6,2743.3,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334899,58925,0.2,31.0,/opt/homebrew/opt/ollama/bin/ollama
1783334899,71860,6.4,2749.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783334901,58925,0.1,31.1,/opt/homebrew/opt/ollama/bin/ollama
