ts,pid,cpu_perc,rss_mb,command
1783373485,11137,0.1,2965.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373485,58925,0.0,52.8,/opt/homebrew/opt/ollama/bin/ollama
1783373488,11137,0.0,2993.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373488,58925,0.1,52.8,/opt/homebrew/opt/ollama/bin/ollama
1783373490,11137,6.6,2996.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373490,58925,43.1,52.8,/opt/homebrew/opt/ollama/bin/ollama
1783373492,11137,6.0,2996.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373492,58925,12.1,52.9,/opt/homebrew/opt/ollama/bin/ollama
1783373494,11137,0.1,2996.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373494,58925,0.0,52.9,/opt/homebrew/opt/ollama/bin/ollama
1783373496,11137,0.1,2996.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373496,58925,33.7,52.9,/opt/homebrew/opt/ollama/bin/ollama
1783373498,11137,0.0,3001.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373498,58925,0.0,52.9,/opt/homebrew/opt/ollama/bin/ollama
1783373500,11137,0.0,2977.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373500,58925,0.0,52.5,/opt/homebrew/opt/ollama/bin/ollama
1783373502,11137,4.0,2978.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373502,58925,0.1,52.5,/opt/homebrew/opt/ollama/bin/ollama
1783373504,11137,5.2,2978.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373504,58925,0.2,52.5,/opt/homebrew/opt/ollama/bin/ollama
1783373506,11137,5.0,2978.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373506,58925,0.2,52.5,/opt/homebrew/opt/ollama/bin/ollama
1783373508,11137,0.7,3218.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373508,58925,0.0,52.6,/opt/homebrew/opt/ollama/bin/ollama
1783373510,11137,0.1,3218.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373510,58925,0.0,52.6,/opt/homebrew/opt/ollama/bin/ollama
1783373512,11137,0.2,3218.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373512,58925,1.3,52.4,/opt/homebrew/opt/ollama/bin/ollama
1783373514,11137,0.0,3218.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
