ts,pid,cpu_perc,rss_mb,command
1783331008,58925,0.0,41.5,/opt/homebrew/opt/ollama/bin/ollama
1783331008,60034,0.0,10.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331008,66565,0.1,2639.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331010,58925,0.5,47.0,/opt/homebrew/opt/ollama/bin/ollama
1783331010,60034,0.0,10.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331010,66565,0.2,2660.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331012,58925,0.2,47.3,/opt/homebrew/opt/ollama/bin/ollama
1783331012,60034,0.0,10.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331012,66565,4.1,2663.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331014,58925,1.3,47.9,/opt/homebrew/opt/ollama/bin/ollama
1783331014,60034,0.0,10.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331014,66565,7.3,2667.3,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331016,58925,0.6,50.3,/opt/homebrew/opt/ollama/bin/ollama
1783331016,60034,0.0,10.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331016,66565,1.6,2667.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331018,58925,0.0,50.3,/opt/homebrew/opt/ollama/bin/ollama
1783331018,60034,0.0,10.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331018,66565,0.2,2667.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331020,58925,3.8,50.7,/opt/homebrew/opt/ollama/bin/ollama
1783331020,60034,0.0,10.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331020,66565,1.1,2670.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331022,58925,0.0,50.7,/opt/homebrew/opt/ollama/bin/ollama
1783331022,60034,0.0,10.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331022,66565,0.0,2670.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331024,58925,0.0,50.7,/opt/homebrew/opt/ollama/bin/ollama
1783331024,60034,0.0,10.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331024,66565,0.1,2671.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331026,58925,0.2,50.7,/opt/homebrew/opt/ollama/bin/ollama
1783331026,60034,0.0,10.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331026,66565,5.8,2671.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331028,58925,0.3,50.7,/opt/homebrew/opt/ollama/bin/ollama
1783331028,60034,0.0,10.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331028,66565,6.3,2671.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331030,58925,0.4,48.4,/opt/homebrew/opt/ollama/bin/ollama
1783331030,60034,0.0,10.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331030,66565,9.5,2665.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331032,58925,16.0,48.9,/opt/homebrew/opt/ollama/bin/ollama
1783331032,60034,0.0,10.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331032,66565,12.4,2905.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331034,58925,0.0,48.9,/opt/homebrew/opt/ollama/bin/ollama
1783331034,60034,0.0,10.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331034,66565,0.2,2905.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331036,58925,13.5,47.8,/opt/homebrew/opt/ollama/bin/ollama
1783331036,60034,0.0,10.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331036,66565,0.1,2855.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331038,58925,0.0,46.2,/opt/homebrew/opt/ollama/bin/ollama
1783331038,60034,0.0,10.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331038,66565,0.6,2863.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331040,58925,0.0,21.2,/opt/homebrew/opt/ollama/bin/ollama
1783331040,60034,0.0,10.3,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331040,66565,0.0,2858.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331043,58925,0.0,13.0,/opt/homebrew/opt/ollama/bin/ollama
1783331043,60034,0.0,10.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331043,66565,0.0,2617.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331045,58925,0.2,15.3,/opt/homebrew/opt/ollama/bin/ollama
1783331045,60034,0.0,10.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331045,66565,5.1,2622.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331047,58925,0.2,15.9,/opt/homebrew/opt/ollama/bin/ollama
1783331047,60034,0.0,10.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331047,66565,5.1,2623.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331049,58925,0.2,16.0,/opt/homebrew/opt/ollama/bin/ollama
1783331049,60034,0.0,10.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331049,66565,5.8,2624.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331051,58925,27.0,47.2,/opt/homebrew/opt/ollama/bin/ollama
1783331051,60034,0.0,10.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331051,66565,16.3,2889.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331053,58925,0.0,47.2,/opt/homebrew/opt/ollama/bin/ollama
1783331053,60034,0.0,10.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331053,66565,0.0,2889.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331055,58925,0.4,44.0,/opt/homebrew/opt/ollama/bin/ollama
1783331055,60034,0.0,10.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331055,66565,7.1,2879.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783331057,58925,0.6,46.7,/opt/homebrew/opt/ollama/bin/ollama
