ts,pid,cpu_perc,rss_mb,command
1783373666,11711,0.1,2592.9,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373666,58925,0.0,48.8,/opt/homebrew/opt/ollama/bin/ollama
1783373668,11711,2.4,2616.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373668,58925,0.0,48.8,/opt/homebrew/opt/ollama/bin/ollama
1783373670,11711,0.0,2628.4,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373670,58925,0.0,48.8,/opt/homebrew/opt/ollama/bin/ollama
1783373672,11711,0.0,2634.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373672,58925,0.0,48.8,/opt/homebrew/opt/ollama/bin/ollama
1783373674,11711,3.9,2634.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373674,58925,0.1,48.8,/opt/homebrew/opt/ollama/bin/ollama
1783373676,11711,0.7,3187.3,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373676,58925,0.2,48.9,/opt/homebrew/opt/ollama/bin/ollama
1783373678,11711,0.1,3187.3,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373678,58925,0.0,48.9,/opt/homebrew/opt/ollama/bin/ollama
1783373680,11711,0.1,3187.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373680,58925,1.1,48.9,/opt/homebrew/opt/ollama/bin/ollama
1783373682,11711,5.3,3187.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373682,58925,0.1,48.9,/opt/homebrew/opt/ollama/bin/ollama
1783373684,11711,6.0,3187.6,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373684,58925,0.2,48.9,/opt/homebrew/opt/ollama/bin/ollama
1783373686,11711,6.2,3187.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373686,58925,0.2,48.9,/opt/homebrew/opt/ollama/bin/ollama
1783373688,11711,5.4,3187.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373688,58925,0.2,48.9,/opt/homebrew/opt/ollama/bin/ollama
1783373690,11711,6.0,3187.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783373690,58925,0.2,48.9,/opt/homebrew/opt/ollama/bin/ollama
