ts,pid,cpu_perc,rss_mb,command
1783329844,58925,0.0,38.7,/opt/homebrew/opt/ollama/bin/ollama
1783329844,60034,0.0,13.3,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329844,62829,0.1,1875.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329846,58925,10.1,39.3,/opt/homebrew/opt/ollama/bin/ollama
1783329846,60034,0.0,13.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329846,62829,2.6,1899.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329848,58925,0.0,32.1,/opt/homebrew/opt/ollama/bin/ollama
1783329848,60034,0.0,13.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329848,62829,3.5,1994.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329850,58925,1.0,34.7,/opt/homebrew/opt/ollama/bin/ollama
1783329850,60034,0.0,13.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329850,62829,2.0,2104.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329852,58925,0.0,34.7,/opt/homebrew/opt/ollama/bin/ollama
1783329852,60034,0.0,13.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329852,62829,0.1,2104.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329854,58925,2.1,33.9,/opt/homebrew/opt/ollama/bin/ollama
1783329854,60034,0.0,13.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329854,62829,1.4,2097.8,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329856,58925,0.2,33.9,/opt/homebrew/opt/ollama/bin/ollama
1783329856,60034,0.0,13.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329856,62829,5.2,2098.1,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329858,58925,6.3,33.9,/opt/homebrew/opt/ollama/bin/ollama
1783329858,60034,0.0,13.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329858,62829,7.5,2409.0,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329860,58925,1.2,34.5,/opt/homebrew/opt/ollama/bin/ollama
1783329860,60034,0.0,13.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329860,62829,0.4,2410.5,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329862,58925,0.0,34.5,/opt/homebrew/opt/ollama/bin/ollama
1783329862,60034,0.0,13.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329862,62829,0.1,2396.7,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329864,58925,0.0,34.3,/opt/homebrew/opt/ollama/bin/ollama
1783329864,60034,0.0,13.2,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329864,62829,0.1,2393.3,/opt/homebrew/Cellar/ollama/0.31.1/libexec/lib/ollama/llama-server
1783329866,58925,0.0,17.5,/opt/homebrew/opt/ollama/bin/ollama
