ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783373966,iotprojectmpc-n8n-1,93.38%,514.4MiB,2.355GiB,21.33%
1783373966,iotprojectmpc-postgres-1,0.00%,34.44MiB,2.355GiB,1.43%
1783373971,iotprojectmpc-n8n-1,5.94%,514.7MiB,2.355GiB,21.35%
1783373971,iotprojectmpc-postgres-1,0.00%,34.45MiB,2.355GiB,1.43%
1783373975,iotprojectmpc-n8n-1,4.02%,515.5MiB,2.355GiB,21.38%
1783373975,iotprojectmpc-postgres-1,0.04%,32.71MiB,2.355GiB,1.36%
1783373980,iotprojectmpc-n8n-1,56.66%,494.8MiB,2.355GiB,20.52%
1783373980,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783373985,iotprojectmpc-n8n-1,2.52%,495.5MiB,2.355GiB,20.55%
1783373985,iotprojectmpc-postgres-1,2.81%,34.46MiB,2.355GiB,1.43%
1783373988,iotprojectmpc-n8n-1,3.30%,495.3MiB,2.355GiB,20.54%
1783373988,iotprojectmpc-postgres-1,0.02%,34.46MiB,2.355GiB,1.43%
1783373992,iotprojectmpc-n8n-1,11.65%,408.5MiB,2.355GiB,16.94%
1783373992,iotprojectmpc-postgres-1,0.11%,34.46MiB,2.355GiB,1.43%
1783373996,iotprojectmpc-n8n-1,1.48%,408.9MiB,2.355GiB,16.96%
1783373996,iotprojectmpc-postgres-1,0.00%,34.46MiB,2.355GiB,1.43%
1783374001,iotprojectmpc-n8n-1,1.08%,406.8MiB,2.355GiB,16.87%
1783374001,iotprojectmpc-postgres-1,0.57%,34.46MiB,2.355GiB,1.43%
1783374006,iotprojectmpc-n8n-1,1.85%,407.3MiB,2.355GiB,16.89%
1783374006,iotprojectmpc-postgres-1,0.03%,34.46MiB,2.355GiB,1.43%
1783374010,iotprojectmpc-n8n-1,1.45%,407.5MiB,2.355GiB,16.90%
1783374010,iotprojectmpc-postgres-1,0.76%,32.71MiB,2.355GiB,1.36%
1783374015,iotprojectmpc-n8n-1,11.62%,408.8MiB,2.355GiB,16.95%
1783374015,iotprojectmpc-postgres-1,3.09%,32.71MiB,2.355GiB,1.36%
1783374020,iotprojectmpc-n8n-1,1.64%,412.4MiB,2.355GiB,17.10%
1783374020,iotprojectmpc-postgres-1,3.17%,32.72MiB,2.355GiB,1.36%
1783374024,iotprojectmpc-n8n-1,1.84%,412.4MiB,2.355GiB,17.11%
1783374024,iotprojectmpc-postgres-1,4.78%,32.82MiB,2.355GiB,1.36%
1783374029,iotprojectmpc-n8n-1,0.68%,412.2MiB,2.355GiB,17.10%
1783374029,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374033,iotprojectmpc-n8n-1,6.14%,412.6MiB,2.355GiB,17.11%
1783374033,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374037,iotprojectmpc-n8n-1,4.49%,412.7MiB,2.355GiB,17.12%
1783374037,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
