ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783331237,iotprojectmpc-n8n-1,32.17%,512.1MiB,2.355GiB,21.24%
1783331237,iotprojectmpc-postgres-1,6.16%,62.33MiB,2.355GiB,2.59%
1783331242,iotprojectmpc-n8n-1,2.50%,512.3MiB,2.355GiB,21.25%
1783331242,iotprojectmpc-postgres-1,0.00%,62.32MiB,2.355GiB,2.58%
1783331247,iotprojectmpc-n8n-1,14.46%,513.5MiB,2.355GiB,21.30%
1783331247,iotprojectmpc-postgres-1,0.03%,62.33MiB,2.355GiB,2.59%
1783331250,iotprojectmpc-n8n-1,3.05%,515.1MiB,2.355GiB,21.36%
1783331250,iotprojectmpc-postgres-1,4.00%,60.57MiB,2.355GiB,2.51%
1783331255,iotprojectmpc-n8n-1,1.88%,479.4MiB,2.355GiB,19.88%
1783331255,iotprojectmpc-postgres-1,3.29%,62.38MiB,2.355GiB,2.59%
1783331259,iotprojectmpc-n8n-1,5.78%,479.9MiB,2.355GiB,19.90%
1783331259,iotprojectmpc-postgres-1,0.02%,62.36MiB,2.355GiB,2.59%
1783331264,iotprojectmpc-n8n-1,1.52%,479.6MiB,2.355GiB,19.89%
1783331264,iotprojectmpc-postgres-1,0.02%,62.37MiB,2.355GiB,2.59%
1783331268,iotprojectmpc-n8n-1,2.46%,480MiB,2.355GiB,19.91%
1783331268,iotprojectmpc-postgres-1,0.00%,62.37MiB,2.355GiB,2.59%
1783331272,iotprojectmpc-n8n-1,2.99%,480MiB,2.355GiB,19.91%
1783331272,iotprojectmpc-postgres-1,0.00%,62.37MiB,2.355GiB,2.59%
1783331276,iotprojectmpc-n8n-1,0.33%,480.3MiB,2.355GiB,19.92%
1783331276,iotprojectmpc-postgres-1,1.82%,62.38MiB,2.355GiB,2.59%
1783331280,iotprojectmpc-n8n-1,2.98%,480.6MiB,2.355GiB,19.93%
1783331280,iotprojectmpc-postgres-1,0.18%,62.37MiB,2.355GiB,2.59%
1783331284,iotprojectmpc-n8n-1,3.13%,480.6MiB,2.355GiB,19.93%
1783331284,iotprojectmpc-postgres-1,4.53%,62.39MiB,2.355GiB,2.59%
1783331288,iotprojectmpc-n8n-1,3.76%,404.7MiB,2.355GiB,16.79%
1783331288,iotprojectmpc-postgres-1,0.00%,62.38MiB,2.355GiB,2.59%
1783331293,iotprojectmpc-n8n-1,2.47%,404.9MiB,2.355GiB,16.79%
1783331293,iotprojectmpc-postgres-1,1.05%,60.6MiB,2.355GiB,2.51%
1783331297,iotprojectmpc-n8n-1,2.84%,404.7MiB,2.355GiB,16.78%
1783331297,iotprojectmpc-postgres-1,0.03%,60.6MiB,2.355GiB,2.51%
1783331301,iotprojectmpc-n8n-1,0.35%,404.8MiB,2.355GiB,16.79%
1783331301,iotprojectmpc-postgres-1,2.87%,60.6MiB,2.355GiB,2.51%
1783331305,iotprojectmpc-n8n-1,8.57%,406.2MiB,2.355GiB,16.85%
1783331305,iotprojectmpc-postgres-1,2.94%,60.6MiB,2.355GiB,2.51%
1783331310,iotprojectmpc-n8n-1,2.50%,407.5MiB,2.355GiB,16.90%
1783331310,iotprojectmpc-postgres-1,0.00%,60.6MiB,2.355GiB,2.51%
1783331315,iotprojectmpc-n8n-1,0.63%,403.4MiB,2.355GiB,16.73%
1783331315,iotprojectmpc-postgres-1,0.00%,60.6MiB,2.355GiB,2.51%
1783331319,iotprojectmpc-n8n-1,1.29%,403.8MiB,2.355GiB,16.75%
1783331319,iotprojectmpc-postgres-1,0.00%,60.6MiB,2.355GiB,2.51%
1783331324,iotprojectmpc-n8n-1,2.51%,403.6MiB,2.355GiB,16.74%
1783331324,iotprojectmpc-postgres-1,0.00%,60.6MiB,2.355GiB,2.51%
1783331327,iotprojectmpc-n8n-1,2.67%,405MiB,2.355GiB,16.80%
1783331327,iotprojectmpc-postgres-1,4.31%,60.6MiB,2.355GiB,2.51%
1783331331,iotprojectmpc-n8n-1,3.14%,404.5MiB,2.355GiB,16.78%
1783331331,iotprojectmpc-postgres-1,3.28%,60.63MiB,2.355GiB,2.51%
1783331335,iotprojectmpc-n8n-1,3.29%,404.8MiB,2.355GiB,16.79%
1783331335,iotprojectmpc-postgres-1,0.04%,60.6MiB,2.355GiB,2.51%
1783331339,iotprojectmpc-n8n-1,6.93%,404.6MiB,2.355GiB,16.78%
1783331339,iotprojectmpc-postgres-1,0.00%,60.6MiB,2.355GiB,2.51%
1783331344,iotprojectmpc-n8n-1,2.18%,405.8MiB,2.355GiB,16.83%
1783331344,iotprojectmpc-postgres-1,0.00%,62.38MiB,2.355GiB,2.59%
1783331348,iotprojectmpc-n8n-1,2.58%,406.3MiB,2.355GiB,16.85%
1783331348,iotprojectmpc-postgres-1,0.03%,62.38MiB,2.355GiB,2.59%
1783331353,iotprojectmpc-n8n-1,14.04%,407.1MiB,2.355GiB,16.89%
1783331353,iotprojectmpc-postgres-1,0.03%,60.6MiB,2.355GiB,2.51%
1783331357,iotprojectmpc-n8n-1,9.19%,408.5MiB,2.355GiB,16.94%
1783331357,iotprojectmpc-postgres-1,3.33%,60.63MiB,2.355GiB,2.51%
1783331362,iotprojectmpc-n8n-1,0.43%,408.5MiB,2.355GiB,16.94%
1783331362,iotprojectmpc-postgres-1,0.00%,60.6MiB,2.355GiB,2.51%
1783331365,iotprojectmpc-n8n-1,0.98%,408.6MiB,2.355GiB,16.95%
1783331365,iotprojectmpc-postgres-1,0.89%,60.6MiB,2.355GiB,2.51%
1783331370,iotprojectmpc-n8n-1,2.52%,408.3MiB,2.355GiB,16.94%
1783331370,iotprojectmpc-postgres-1,0.01%,60.6MiB,2.355GiB,2.51%
1783331375,iotprojectmpc-n8n-1,1.98%,408.7MiB,2.355GiB,16.95%
1783331375,iotprojectmpc-postgres-1,0.00%,60.6MiB,2.355GiB,2.51%
1783331379,iotprojectmpc-n8n-1,3.11%,408.8MiB,2.355GiB,16.96%
1783331379,iotprojectmpc-postgres-1,0.00%,60.6MiB,2.355GiB,2.51%
1783331384,iotprojectmpc-n8n-1,3.41%,408.7MiB,2.355GiB,16.95%
1783331384,iotprojectmpc-postgres-1,0.00%,60.6MiB,2.355GiB,2.51%
1783331389,iotprojectmpc-n8n-1,0.52%,411.4MiB,2.355GiB,17.06%
1783331389,iotprojectmpc-postgres-1,2.78%,62.38MiB,2.355GiB,2.59%
1783331393,iotprojectmpc-n8n-1,3.01%,411.2MiB,2.355GiB,17.06%
1783331393,iotprojectmpc-postgres-1,5.99%,62.38MiB,2.355GiB,2.59%
1783331397,iotprojectmpc-n8n-1,2.04%,411.2MiB,2.355GiB,17.06%
1783331397,iotprojectmpc-postgres-1,0.02%,62.37MiB,2.355GiB,2.59%
1783331401,iotprojectmpc-n8n-1,2.17%,411.1MiB,2.355GiB,17.05%
1783331401,iotprojectmpc-postgres-1,0.02%,60.59MiB,2.355GiB,2.51%
1783331406,iotprojectmpc-n8n-1,3.03%,411.1MiB,2.355GiB,17.05%
1783331406,iotprojectmpc-postgres-1,0.08%,60.59MiB,2.355GiB,2.51%
1783331410,iotprojectmpc-n8n-1,1.01%,411.6MiB,2.355GiB,17.07%
1783331410,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331414,iotprojectmpc-n8n-1,7.88%,409.3MiB,2.355GiB,16.98%
1783331414,iotprojectmpc-postgres-1,17.08%,60.59MiB,2.355GiB,2.51%
1783331418,iotprojectmpc-n8n-1,0.44%,409.3MiB,2.355GiB,16.98%
1783331418,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331422,iotprojectmpc-n8n-1,0.17%,409.6MiB,2.355GiB,16.99%
1783331422,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331426,iotprojectmpc-n8n-1,0.77%,409.6MiB,2.355GiB,16.99%
1783331426,iotprojectmpc-postgres-1,0.02%,60.59MiB,2.355GiB,2.51%
1783331431,iotprojectmpc-n8n-1,3.71%,409.4MiB,2.355GiB,16.98%
1783331431,iotprojectmpc-postgres-1,0.08%,60.6MiB,2.355GiB,2.51%
1783331435,iotprojectmpc-n8n-1,1.38%,409.4MiB,2.355GiB,16.98%
1783331435,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331440,iotprojectmpc-n8n-1,2.87%,409.4MiB,2.355GiB,16.98%
1783331440,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331445,iotprojectmpc-n8n-1,1.67%,409.6MiB,2.355GiB,16.99%
1783331445,iotprojectmpc-postgres-1,4.01%,60.62MiB,2.355GiB,2.51%
1783331449,iotprojectmpc-n8n-1,1.54%,409.6MiB,2.355GiB,16.99%
1783331449,iotprojectmpc-postgres-1,3.14%,60.66MiB,2.355GiB,2.52%
1783331454,iotprojectmpc-n8n-1,0.93%,409.4MiB,2.355GiB,16.98%
1783331454,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331458,iotprojectmpc-n8n-1,8.85%,411.4MiB,2.355GiB,17.06%
1783331458,iotprojectmpc-postgres-1,0.02%,62.37MiB,2.355GiB,2.59%
1783331463,iotprojectmpc-n8n-1,2.31%,411.4MiB,2.355GiB,17.06%
1783331463,iotprojectmpc-postgres-1,0.02%,62.37MiB,2.355GiB,2.59%
1783331467,iotprojectmpc-n8n-1,2.24%,411.9MiB,2.355GiB,17.08%
1783331467,iotprojectmpc-postgres-1,0.72%,60.59MiB,2.355GiB,2.51%
1783331472,iotprojectmpc-n8n-1,3.61%,411.6MiB,2.355GiB,17.07%
1783331472,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331475,iotprojectmpc-n8n-1,1.48%,412.1MiB,2.355GiB,17.09%
1783331475,iotprojectmpc-postgres-1,0.00%,60.59MiB,2.355GiB,2.51%
1783331480,iotprojectmpc-n8n-1,4.49%,411.6MiB,2.355GiB,17.07%
