ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783367412,iotprojectmpc-n8n-1,120.28%,506.9MiB,2.355GiB,21.02%
1783367412,iotprojectmpc-postgres-1,0.00%,34.43MiB,2.355GiB,1.43%
1783367417,iotprojectmpc-n8n-1,0.93%,506.7MiB,2.355GiB,21.01%
1783367417,iotprojectmpc-postgres-1,0.00%,34.43MiB,2.355GiB,1.43%
1783367420,iotprojectmpc-n8n-1,4.15%,472.4MiB,2.355GiB,19.59%
1783367420,iotprojectmpc-postgres-1,0.00%,34.43MiB,2.355GiB,1.43%
1783367424,iotprojectmpc-n8n-1,2.95%,472.6MiB,2.355GiB,19.60%
1783367424,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.35%
1783367429,iotprojectmpc-n8n-1,90.94%,397.8MiB,2.355GiB,16.50%
1783367429,iotprojectmpc-postgres-1,0.03%,34.45MiB,2.355GiB,1.43%
1783367432,iotprojectmpc-n8n-1,2.97%,398.8MiB,2.355GiB,16.54%
1783367432,iotprojectmpc-postgres-1,4.17%,36.04MiB,2.355GiB,1.49%
1783367436,iotprojectmpc-n8n-1,4.93%,401.5MiB,2.355GiB,16.65%
1783367436,iotprojectmpc-postgres-1,0.05%,34.71MiB,2.355GiB,1.44%
1783367441,iotprojectmpc-n8n-1,4.83%,399.5MiB,2.355GiB,16.57%
1783367441,iotprojectmpc-postgres-1,0.04%,34.46MiB,2.355GiB,1.43%
1783367444,iotprojectmpc-n8n-1,1.83%,401.8MiB,2.355GiB,16.66%
1783367444,iotprojectmpc-postgres-1,0.00%,34.46MiB,2.355GiB,1.43%
1783367449,iotprojectmpc-n8n-1,1.83%,402.1MiB,2.355GiB,16.68%
1783367449,iotprojectmpc-postgres-1,0.07%,34.45MiB,2.355GiB,1.43%
1783367453,iotprojectmpc-n8n-1,13.61%,404.3MiB,2.355GiB,16.77%
1783367453,iotprojectmpc-postgres-1,0.02%,32.67MiB,2.355GiB,1.35%
1783367458,iotprojectmpc-n8n-1,2.28%,407.7MiB,2.355GiB,16.91%
1783367458,iotprojectmpc-postgres-1,2.83%,32.67MiB,2.355GiB,1.36%
1783367463,iotprojectmpc-n8n-1,1.26%,407.5MiB,2.355GiB,16.90%
1783367463,iotprojectmpc-postgres-1,2.11%,32.68MiB,2.355GiB,1.36%
1783367467,iotprojectmpc-n8n-1,0.30%,407.8MiB,2.355GiB,16.91%
1783367467,iotprojectmpc-postgres-1,3.26%,32.68MiB,2.355GiB,1.36%
1783367472,iotprojectmpc-n8n-1,1.74%,407.6MiB,2.355GiB,16.91%
1783367472,iotprojectmpc-postgres-1,0.00%,32.68MiB,2.355GiB,1.36%
1783367475,iotprojectmpc-n8n-1,3.25%,408.1MiB,2.355GiB,16.93%
1783367475,iotprojectmpc-postgres-1,0.06%,32.67MiB,2.355GiB,1.36%
1783367480,iotprojectmpc-n8n-1,1.66%,408.3MiB,2.355GiB,16.94%
1783367480,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.35%
1783367485,iotprojectmpc-n8n-1,2.40%,408.8MiB,2.355GiB,16.95%
1783367485,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.36%
1783367489,iotprojectmpc-n8n-1,0.14%,410.9MiB,2.355GiB,17.04%
1783367489,iotprojectmpc-postgres-1,0.02%,34.45MiB,2.355GiB,1.43%
1783367494,iotprojectmpc-n8n-1,1.59%,411.1MiB,2.355GiB,17.05%
