ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783368099,iotprojectmpc-n8n-1,85.63%,504.1MiB,2.355GiB,20.91%
1783368099,iotprojectmpc-postgres-1,0.04%,34.43MiB,2.355GiB,1.43%
1783368104,iotprojectmpc-n8n-1,0.96%,510.6MiB,2.355GiB,21.18%
1783368104,iotprojectmpc-postgres-1,0.00%,34.43MiB,2.355GiB,1.43%
1783368108,iotprojectmpc-n8n-1,3.54%,476.8MiB,2.355GiB,19.77%
1783368108,iotprojectmpc-postgres-1,0.00%,34.43MiB,2.355GiB,1.43%
1783368113,iotprojectmpc-n8n-1,2.16%,476.7MiB,2.355GiB,19.77%
1783368113,iotprojectmpc-postgres-1,0.02%,32.66MiB,2.355GiB,1.35%
1783368118,iotprojectmpc-n8n-1,15.10%,403.2MiB,2.355GiB,16.72%
1783368118,iotprojectmpc-postgres-1,0.04%,34.45MiB,2.355GiB,1.43%
1783368122,iotprojectmpc-n8n-1,3.20%,403.4MiB,2.355GiB,16.73%
1783368122,iotprojectmpc-postgres-1,0.00%,34.45MiB,2.355GiB,1.43%
1783368127,iotprojectmpc-n8n-1,0.58%,404.4MiB,2.355GiB,16.77%
1783368127,iotprojectmpc-postgres-1,0.24%,34.45MiB,2.355GiB,1.43%
1783368131,iotprojectmpc-n8n-1,4.86%,404.5MiB,2.355GiB,16.77%
1783368131,iotprojectmpc-postgres-1,3.39%,34.5MiB,2.355GiB,1.43%
1783368136,iotprojectmpc-n8n-1,0.63%,405MiB,2.355GiB,16.80%
1783368136,iotprojectmpc-postgres-1,0.38%,34.45MiB,2.355GiB,1.43%
1783368141,iotprojectmpc-n8n-1,2.29%,404.7MiB,2.355GiB,16.78%
1783368141,iotprojectmpc-postgres-1,0.02%,34.46MiB,2.355GiB,1.43%
1783368144,iotprojectmpc-n8n-1,0.92%,404.9MiB,2.355GiB,16.80%
1783368144,iotprojectmpc-postgres-1,0.02%,34.46MiB,2.355GiB,1.43%
1783368149,iotprojectmpc-n8n-1,10.01%,407.7MiB,2.355GiB,16.91%
1783368149,iotprojectmpc-postgres-1,0.07%,32.67MiB,2.355GiB,1.36%
1783368153,iotprojectmpc-n8n-1,2.06%,407.7MiB,2.355GiB,16.91%
1783368153,iotprojectmpc-postgres-1,2.47%,32.67MiB,2.355GiB,1.36%
1783368158,iotprojectmpc-n8n-1,0.60%,407.9MiB,2.355GiB,16.92%
