ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783373146,iotprojectmpc-n8n-1,78.39%,531.7MiB,2.355GiB,22.05%
1783373146,iotprojectmpc-postgres-1,0.00%,34.41MiB,2.355GiB,1.43%
1783373151,iotprojectmpc-n8n-1,5.54%,551.5MiB,2.355GiB,22.88%
1783373151,iotprojectmpc-postgres-1,1.79%,34.44MiB,2.355GiB,1.43%
1783373156,iotprojectmpc-n8n-1,26.76%,556.2MiB,2.355GiB,23.07%
1783373156,iotprojectmpc-postgres-1,0.03%,34.43MiB,2.355GiB,1.43%
1783373160,iotprojectmpc-n8n-1,3.37%,416.7MiB,2.355GiB,17.28%
1783373160,iotprojectmpc-postgres-1,0.16%,34.44MiB,2.355GiB,1.43%
1783373165,iotprojectmpc-n8n-1,3.02%,421MiB,2.355GiB,17.46%
1783373165,iotprojectmpc-postgres-1,0.55%,34.43MiB,2.355GiB,1.43%
1783373169,iotprojectmpc-n8n-1,6.71%,422.2MiB,2.355GiB,17.51%
1783373169,iotprojectmpc-postgres-1,0.09%,34.43MiB,2.355GiB,1.43%
1783373174,iotprojectmpc-n8n-1,6.45%,427.7MiB,2.355GiB,17.74%
1783373174,iotprojectmpc-postgres-1,0.05%,34.43MiB,2.355GiB,1.43%
1783373178,iotprojectmpc-n8n-1,2.04%,431.3MiB,2.355GiB,17.89%
1783373178,iotprojectmpc-postgres-1,0.02%,34.44MiB,2.355GiB,1.43%
1783373183,iotprojectmpc-n8n-1,0.63%,432.5MiB,2.355GiB,17.94%
1783373183,iotprojectmpc-postgres-1,0.00%,34.44MiB,2.355GiB,1.43%
1783373188,iotprojectmpc-n8n-1,1.56%,432.5MiB,2.355GiB,17.94%
1783373188,iotprojectmpc-postgres-1,0.02%,34.44MiB,2.355GiB,1.43%
1783373192,iotprojectmpc-n8n-1,0.19%,432.6MiB,2.355GiB,17.94%
1783373192,iotprojectmpc-postgres-1,1.83%,32.68MiB,2.355GiB,1.36%
1783373196,iotprojectmpc-n8n-1,0.75%,432.4MiB,2.355GiB,17.93%
1783373196,iotprojectmpc-postgres-1,0.03%,32.68MiB,2.355GiB,1.36%
1783373199,iotprojectmpc-n8n-1,0.38%,432.4MiB,2.355GiB,17.93%
1783373199,iotprojectmpc-postgres-1,0.04%,32.69MiB,2.355GiB,1.36%
1783373204,iotprojectmpc-n8n-1,0.63%,432.4MiB,2.355GiB,17.93%
1783373204,iotprojectmpc-postgres-1,0.79%,32.85MiB,2.355GiB,1.36%
1783373208,iotprojectmpc-n8n-1,0.90%,432.5MiB,2.355GiB,17.94%
1783373208,iotprojectmpc-postgres-1,0.00%,32.69MiB,2.355GiB,1.36%
1783373213,iotprojectmpc-n8n-1,0.61%,432.5MiB,2.355GiB,17.94%
1783373213,iotprojectmpc-postgres-1,0.04%,32.68MiB,2.355GiB,1.36%
1783373218,iotprojectmpc-n8n-1,1.14%,432.6MiB,2.355GiB,17.94%
1783373218,iotprojectmpc-postgres-1,0.16%,32.68MiB,2.355GiB,1.36%
1783373222,iotprojectmpc-n8n-1,1.08%,432.6MiB,2.355GiB,17.94%
1783373222,iotprojectmpc-postgres-1,1.80%,32.7MiB,2.355GiB,1.36%
1783373227,iotprojectmpc-n8n-1,0.68%,432.9MiB,2.355GiB,17.96%
1783373227,iotprojectmpc-postgres-1,1.89%,32.68MiB,2.355GiB,1.36%
1783373231,iotprojectmpc-n8n-1,0.48%,433MiB,2.355GiB,17.96%
1783373231,iotprojectmpc-postgres-1,1.79%,32.68MiB,2.355GiB,1.36%
1783373236,iotprojectmpc-n8n-1,0.56%,432.5MiB,2.355GiB,17.94%
1783373236,iotprojectmpc-postgres-1,0.00%,32.68MiB,2.355GiB,1.36%
1783373241,iotprojectmpc-n8n-1,0.53%,432.8MiB,2.355GiB,17.95%
1783373241,iotprojectmpc-postgres-1,0.03%,32.68MiB,2.355GiB,1.36%
1783373245,iotprojectmpc-n8n-1,0.55%,433.1MiB,2.355GiB,17.96%
1783373245,iotprojectmpc-postgres-1,0.00%,32.68MiB,2.355GiB,1.36%
1783373250,iotprojectmpc-n8n-1,0.27%,434.4MiB,2.355GiB,18.02%
1783373250,iotprojectmpc-postgres-1,0.00%,32.68MiB,2.355GiB,1.36%
