ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783329062,iotprojectmpc-n8n-1,0.58%,446.7MiB,2.355GiB,18.53%
1783329062,iotprojectmpc-postgres-1,0.00%,60.43MiB,2.355GiB,2.51%
1783329067,iotprojectmpc-n8n-1,0.39%,446.4MiB,2.355GiB,18.52%
1783329067,iotprojectmpc-postgres-1,0.01%,60.43MiB,2.355GiB,2.51%
1783329071,iotprojectmpc-n8n-1,0.70%,446.4MiB,2.355GiB,18.52%
1783329071,iotprojectmpc-postgres-1,0.01%,60.43MiB,2.355GiB,2.51%
1783329075,iotprojectmpc-n8n-1,0.24%,446.7MiB,2.355GiB,18.53%
1783329075,iotprojectmpc-postgres-1,0.00%,60.43MiB,2.355GiB,2.51%
1783329080,iotprojectmpc-n8n-1,0.28%,446.5MiB,2.355GiB,18.52%
1783329080,iotprojectmpc-postgres-1,0.00%,62.14MiB,2.355GiB,2.58%
1783329084,iotprojectmpc-n8n-1,0.37%,446.5MiB,2.355GiB,18.52%
1783329084,iotprojectmpc-postgres-1,3.05%,62.14MiB,2.355GiB,2.58%
1783329089,iotprojectmpc-n8n-1,11.74%,446.7MiB,2.355GiB,18.53%
1783329089,iotprojectmpc-postgres-1,1.22%,62.17MiB,2.355GiB,2.58%
1783329093,iotprojectmpc-n8n-1,4.14%,447MiB,2.355GiB,18.54%
1783329093,iotprojectmpc-postgres-1,1.31%,62.21MiB,2.355GiB,2.58%
1783329098,iotprojectmpc-n8n-1,7.29%,450.1MiB,2.355GiB,18.67%
1783329098,iotprojectmpc-postgres-1,0.04%,62.17MiB,2.355GiB,2.58%
1783329102,iotprojectmpc-n8n-1,0.76%,450.6MiB,2.355GiB,18.69%
1783329102,iotprojectmpc-postgres-1,0.02%,62.17MiB,2.355GiB,2.58%
1783329107,iotprojectmpc-n8n-1,9.73%,450.4MiB,2.355GiB,18.68%
1783329107,iotprojectmpc-postgres-1,1.21%,62.17MiB,2.355GiB,2.58%
1783329111,iotprojectmpc-n8n-1,7.85%,450.5MiB,2.355GiB,18.68%
1783329111,iotprojectmpc-postgres-1,0.00%,62.17MiB,2.355GiB,2.58%
1783329115,iotprojectmpc-n8n-1,4.48%,450.6MiB,2.355GiB,18.69%
1783329115,iotprojectmpc-postgres-1,0.00%,62.16MiB,2.355GiB,2.58%
1783329120,iotprojectmpc-n8n-1,0.84%,452.4MiB,2.355GiB,18.76%
1783329120,iotprojectmpc-postgres-1,1.40%,62.18MiB,2.355GiB,2.58%
1783329124,iotprojectmpc-n8n-1,5.42%,452.6MiB,2.355GiB,18.77%
1783329124,iotprojectmpc-postgres-1,2.05%,62.18MiB,2.355GiB,2.58%
1783329129,iotprojectmpc-n8n-1,1.41%,452.7MiB,2.355GiB,18.78%
1783329129,iotprojectmpc-postgres-1,1.19%,62.17MiB,2.355GiB,2.58%
1783329133,iotprojectmpc-n8n-1,4.54%,452.5MiB,2.355GiB,18.77%
1783329133,iotprojectmpc-postgres-1,0.05%,62.17MiB,2.355GiB,2.58%
1783329138,iotprojectmpc-n8n-1,5.37%,456.6MiB,2.355GiB,18.94%
1783329138,iotprojectmpc-postgres-1,0.14%,60.43MiB,2.355GiB,2.51%
1783329143,iotprojectmpc-n8n-1,5.70%,456.6MiB,2.355GiB,18.94%
1783329143,iotprojectmpc-postgres-1,0.02%,62.16MiB,2.355GiB,2.58%
1783329147,iotprojectmpc-n8n-1,1.77%,456.7MiB,2.355GiB,18.94%
1783329147,iotprojectmpc-postgres-1,0.03%,62.17MiB,2.355GiB,2.58%
1783329152,iotprojectmpc-n8n-1,12.65%,456.8MiB,2.355GiB,18.94%
1783329152,iotprojectmpc-postgres-1,0.17%,62.18MiB,2.355GiB,2.58%
1783329155,iotprojectmpc-n8n-1,5.08%,456.9MiB,2.355GiB,18.95%
1783329155,iotprojectmpc-postgres-1,0.68%,62.21MiB,2.355GiB,2.58%
1783329160,iotprojectmpc-n8n-1,0.59%,457.2MiB,2.355GiB,18.96%
1783329160,iotprojectmpc-postgres-1,0.02%,62.21MiB,2.355GiB,2.58%
1783329165,iotprojectmpc-n8n-1,1.90%,459.3MiB,2.355GiB,19.05%
1783329165,iotprojectmpc-postgres-1,2.13%,62.22MiB,2.355GiB,2.58%
1783329169,iotprojectmpc-n8n-1,4.89%,459.1MiB,2.355GiB,19.04%
1783329169,iotprojectmpc-postgres-1,1.62%,62.2MiB,2.355GiB,2.58%
1783329174,iotprojectmpc-n8n-1,20.70%,493.7MiB,2.355GiB,20.48%
1783329174,iotprojectmpc-postgres-1,0.00%,62.2MiB,2.355GiB,2.58%
1783329177,iotprojectmpc-n8n-1,41.98%,512.5MiB,2.355GiB,21.25%
1783329177,iotprojectmpc-postgres-1,0.01%,62.2MiB,2.355GiB,2.58%
1783329182,iotprojectmpc-n8n-1,0.62%,512.5MiB,2.355GiB,21.26%
1783329182,iotprojectmpc-postgres-1,0.03%,60.47MiB,2.355GiB,2.51%
