ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783334831,iotprojectmpc-n8n-1,0.20%,421.7MiB,2.355GiB,17.49%
1783334831,iotprojectmpc-postgres-1,0.39%,36.03MiB,2.355GiB,1.49%
1783334836,iotprojectmpc-n8n-1,5.37%,430.8MiB,2.355GiB,17.87%
1783334836,iotprojectmpc-postgres-1,0.32%,36.05MiB,2.355GiB,1.50%
1783334840,iotprojectmpc-n8n-1,0.29%,436.2MiB,2.355GiB,18.09%
1783334840,iotprojectmpc-postgres-1,0.01%,36.3MiB,2.355GiB,1.51%
1783334845,iotprojectmpc-n8n-1,2.50%,436.5MiB,2.355GiB,18.10%
1783334845,iotprojectmpc-postgres-1,0.06%,36.3MiB,2.355GiB,1.51%
1783334850,iotprojectmpc-n8n-1,5.78%,436.3MiB,2.355GiB,18.10%
1783334850,iotprojectmpc-postgres-1,0.03%,34.3MiB,2.355GiB,1.42%
1783334853,iotprojectmpc-n8n-1,5.76%,437.6MiB,2.355GiB,18.15%
1783334853,iotprojectmpc-postgres-1,0.03%,36.04MiB,2.355GiB,1.49%
1783334858,iotprojectmpc-n8n-1,0.39%,439.7MiB,2.355GiB,18.24%
1783334858,iotprojectmpc-postgres-1,0.00%,36.04MiB,2.355GiB,1.49%
1783334862,iotprojectmpc-n8n-1,3.58%,439.7MiB,2.355GiB,18.23%
1783334862,iotprojectmpc-postgres-1,0.00%,34.3MiB,2.355GiB,1.42%
1783334867,iotprojectmpc-n8n-1,10.76%,440.2MiB,2.355GiB,18.26%
1783334867,iotprojectmpc-postgres-1,0.02%,34.3MiB,2.355GiB,1.42%
1783334871,iotprojectmpc-n8n-1,0.48%,440.4MiB,2.355GiB,18.27%
1783334871,iotprojectmpc-postgres-1,0.02%,36.04MiB,2.355GiB,1.49%
1783334876,iotprojectmpc-n8n-1,0.29%,440.2MiB,2.355GiB,18.26%
1783334876,iotprojectmpc-postgres-1,0.00%,36.05MiB,2.355GiB,1.50%
1783334881,iotprojectmpc-n8n-1,3.08%,442.4MiB,2.355GiB,18.35%
1783334881,iotprojectmpc-postgres-1,0.00%,34.3MiB,2.355GiB,1.42%
1783334885,iotprojectmpc-n8n-1,0.82%,442.4MiB,2.355GiB,18.35%
1783334885,iotprojectmpc-postgres-1,0.01%,36.04MiB,2.355GiB,1.49%
1783334889,iotprojectmpc-n8n-1,61.09%,444.6MiB,2.355GiB,18.44%
1783334889,iotprojectmpc-postgres-1,0.04%,36.04MiB,2.355GiB,1.49%
1783334893,iotprojectmpc-n8n-1,1.02%,444.7MiB,2.355GiB,18.44%
1783334893,iotprojectmpc-postgres-1,2.15%,36.07MiB,2.355GiB,1.50%
1783334898,iotprojectmpc-n8n-1,6.18%,444.7MiB,2.355GiB,18.44%
1783334898,iotprojectmpc-postgres-1,1.48%,34.3MiB,2.355GiB,1.42%
1783334903,iotprojectmpc-n8n-1,3.54%,444.8MiB,2.355GiB,18.45%
1783334903,iotprojectmpc-postgres-1,0.00%,34.3MiB,2.355GiB,1.42%
1783334907,iotprojectmpc-n8n-1,0.44%,444.7MiB,2.355GiB,18.44%
1783334907,iotprojectmpc-postgres-1,0.02%,36.04MiB,2.355GiB,1.49%
1783334912,iotprojectmpc-n8n-1,9.09%,445.6MiB,2.355GiB,18.48%
1783334912,iotprojectmpc-postgres-1,0.02%,36.04MiB,2.355GiB,1.49%
1783334916,iotprojectmpc-n8n-1,11.85%,450.1MiB,2.355GiB,18.67%
1783334916,iotprojectmpc-postgres-1,0.29%,36.05MiB,2.355GiB,1.50%
1783334920,iotprojectmpc-n8n-1,0.54%,449.9MiB,2.355GiB,18.66%
1783334920,iotprojectmpc-postgres-1,0.01%,36.05MiB,2.355GiB,1.50%
1783334925,iotprojectmpc-n8n-1,31.26%,476.2MiB,2.355GiB,19.75%
1783334925,iotprojectmpc-postgres-1,3.27%,36.05MiB,2.355GiB,1.50%
