ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783373485,iotprojectmpc-n8n-1,0.66%,512.9MiB,2.355GiB,21.27%
1783373485,iotprojectmpc-postgres-1,0.34%,34.46MiB,2.355GiB,1.43%
1783373490,iotprojectmpc-n8n-1,13.78%,492.9MiB,2.355GiB,20.44%
1783373490,iotprojectmpc-postgres-1,0.39%,34.47MiB,2.355GiB,1.43%
1783373494,iotprojectmpc-n8n-1,7.62%,494.5MiB,2.355GiB,20.51%
1783373494,iotprojectmpc-postgres-1,0.03%,34.47MiB,2.355GiB,1.43%
1783373498,iotprojectmpc-n8n-1,0.31%,494.6MiB,2.355GiB,20.51%
1783373498,iotprojectmpc-postgres-1,0.03%,34.47MiB,2.355GiB,1.43%
1783373503,iotprojectmpc-n8n-1,27.31%,401.2MiB,2.355GiB,16.64%
1783373503,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783373506,iotprojectmpc-n8n-1,7.59%,405.1MiB,2.355GiB,16.80%
1783373506,iotprojectmpc-postgres-1,0.00%,34.48MiB,2.355GiB,1.43%
1783373511,iotprojectmpc-n8n-1,0.48%,407MiB,2.355GiB,16.88%
1783373511,iotprojectmpc-postgres-1,0.21%,34.48MiB,2.355GiB,1.43%
1783373515,iotprojectmpc-n8n-1,2.51%,407MiB,2.355GiB,16.88%
1783373515,iotprojectmpc-postgres-1,0.33%,32.7MiB,2.355GiB,1.36%
1783373519,iotprojectmpc-n8n-1,0.33%,408.7MiB,2.355GiB,16.95%
1783373519,iotprojectmpc-postgres-1,0.76%,34.47MiB,2.355GiB,1.43%
1783373524,iotprojectmpc-n8n-1,0.39%,414.5MiB,2.355GiB,17.19%
1783373524,iotprojectmpc-postgres-1,0.00%,34.47MiB,2.355GiB,1.43%
1783373528,iotprojectmpc-n8n-1,0.27%,414.5MiB,2.355GiB,17.19%
1783373528,iotprojectmpc-postgres-1,0.00%,34.47MiB,2.355GiB,1.43%
1783373533,iotprojectmpc-n8n-1,4.60%,414.9MiB,2.355GiB,17.21%
1783373533,iotprojectmpc-postgres-1,0.02%,32.7MiB,2.355GiB,1.36%
1783373537,iotprojectmpc-n8n-1,3.20%,415.1MiB,2.355GiB,17.22%
1783373537,iotprojectmpc-postgres-1,0.01%,32.7MiB,2.355GiB,1.36%
1783373542,iotprojectmpc-n8n-1,3.50%,415.7MiB,2.355GiB,17.24%
1783373542,iotprojectmpc-postgres-1,0.00%,34.47MiB,2.355GiB,1.43%
1783373546,iotprojectmpc-n8n-1,0.13%,416.5MiB,2.355GiB,17.27%
1783373546,iotprojectmpc-postgres-1,0.00%,34.47MiB,2.355GiB,1.43%
1783373551,iotprojectmpc-n8n-1,0.85%,416.7MiB,2.355GiB,17.28%
1783373551,iotprojectmpc-postgres-1,0.02%,32.7MiB,2.355GiB,1.36%
1783373556,iotprojectmpc-n8n-1,3.78%,417.2MiB,2.355GiB,17.30%
1783373556,iotprojectmpc-postgres-1,0.02%,32.7MiB,2.355GiB,1.36%
1783373560,iotprojectmpc-n8n-1,4.73%,417.8MiB,2.355GiB,17.33%
1783373560,iotprojectmpc-postgres-1,0.01%,34.47MiB,2.355GiB,1.43%
1783373565,iotprojectmpc-n8n-1,1.09%,418MiB,2.355GiB,17.34%
1783373565,iotprojectmpc-postgres-1,2.38%,34.48MiB,2.355GiB,1.43%
1783373569,iotprojectmpc-n8n-1,9.50%,419.5MiB,2.355GiB,17.40%
1783373569,iotprojectmpc-postgres-1,0.84%,34.48MiB,2.355GiB,1.43%
1783373573,iotprojectmpc-n8n-1,3.36%,422.9MiB,2.355GiB,17.54%
1783373573,iotprojectmpc-postgres-1,0.18%,34.48MiB,2.355GiB,1.43%
1783373577,iotprojectmpc-n8n-1,0.35%,423.4MiB,2.355GiB,17.56%
1783373577,iotprojectmpc-postgres-1,0.02%,34.48MiB,2.355GiB,1.43%
1783373582,iotprojectmpc-n8n-1,1.04%,425.5MiB,2.355GiB,17.65%
1783373582,iotprojectmpc-postgres-1,0.01%,34.48MiB,2.355GiB,1.43%
1783373587,iotprojectmpc-n8n-1,1.92%,426.2MiB,2.355GiB,17.67%
1783373587,iotprojectmpc-postgres-1,0.00%,34.48MiB,2.355GiB,1.43%
1783373591,iotprojectmpc-n8n-1,0.40%,426.3MiB,2.355GiB,17.68%
1783373591,iotprojectmpc-postgres-1,0.42%,32.7MiB,2.355GiB,1.36%
1783373596,iotprojectmpc-n8n-1,0.27%,426.6MiB,2.355GiB,17.69%
1783373596,iotprojectmpc-postgres-1,0.02%,32.7MiB,2.355GiB,1.36%
1783373600,iotprojectmpc-n8n-1,2.13%,426.4MiB,2.355GiB,17.69%
1783373600,iotprojectmpc-postgres-1,1.39%,32.76MiB,2.355GiB,1.36%
