ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783331008,iotprojectmpc-n8n-1,109.28%,552.7MiB,2.355GiB,22.92%
1783331008,iotprojectmpc-postgres-1,0.00%,62.32MiB,2.355GiB,2.58%
1783331012,iotprojectmpc-n8n-1,24.47%,541.9MiB,2.355GiB,22.48%
1783331012,iotprojectmpc-postgres-1,1.33%,62.34MiB,2.355GiB,2.59%
1783331016,iotprojectmpc-n8n-1,7.38%,544.6MiB,2.355GiB,22.59%
1783331016,iotprojectmpc-postgres-1,0.03%,62.33MiB,2.355GiB,2.59%
1783331021,iotprojectmpc-n8n-1,0.81%,404.6MiB,2.355GiB,16.78%
1783331021,iotprojectmpc-postgres-1,0.03%,62.33MiB,2.355GiB,2.59%
1783331025,iotprojectmpc-n8n-1,4.35%,405MiB,2.355GiB,16.80%
1783331025,iotprojectmpc-postgres-1,0.00%,60.56MiB,2.355GiB,2.51%
1783331029,iotprojectmpc-n8n-1,4.68%,405.3MiB,2.355GiB,16.81%
1783331029,iotprojectmpc-postgres-1,0.00%,60.56MiB,2.355GiB,2.51%
1783331033,iotprojectmpc-n8n-1,5.39%,406.7MiB,2.355GiB,16.87%
1783331033,iotprojectmpc-postgres-1,0.03%,62.34MiB,2.355GiB,2.59%
1783331038,iotprojectmpc-n8n-1,0.45%,407.5MiB,2.355GiB,16.90%
1783331038,iotprojectmpc-postgres-1,1.69%,62.34MiB,2.355GiB,2.59%
1783331042,iotprojectmpc-n8n-1,2.58%,407.6MiB,2.355GiB,16.90%
1783331042,iotprojectmpc-postgres-1,0.04%,60.56MiB,2.355GiB,2.51%
1783331045,iotprojectmpc-n8n-1,3.18%,408.1MiB,2.355GiB,16.92%
1783331045,iotprojectmpc-postgres-1,0.00%,60.56MiB,2.355GiB,2.51%
1783331049,iotprojectmpc-n8n-1,4.00%,408.1MiB,2.355GiB,16.92%
1783331049,iotprojectmpc-postgres-1,0.00%,60.56MiB,2.355GiB,2.51%
1783331053,iotprojectmpc-n8n-1,9.17%,411.2MiB,2.355GiB,17.06%
1783331053,iotprojectmpc-postgres-1,1.76%,62.34MiB,2.355GiB,2.59%
1783331057,iotprojectmpc-n8n-1,1.01%,413.7MiB,2.355GiB,17.16%
1783331057,iotprojectmpc-postgres-1,0.02%,62.34MiB,2.355GiB,2.59%
1783331061,iotprojectmpc-n8n-1,0.41%,413.8MiB,2.355GiB,17.16%
1783331061,iotprojectmpc-postgres-1,0.02%,60.56MiB,2.355GiB,2.51%
1783331065,iotprojectmpc-n8n-1,3.56%,414.1MiB,2.355GiB,17.17%
1783331065,iotprojectmpc-postgres-1,0.65%,60.57MiB,2.355GiB,2.51%
1783331070,iotprojectmpc-n8n-1,2.37%,414.7MiB,2.355GiB,17.20%
1783331070,iotprojectmpc-postgres-1,0.74%,62.34MiB,2.355GiB,2.59%
1783331074,iotprojectmpc-n8n-1,7.31%,416.3MiB,2.355GiB,17.27%
1783331074,iotprojectmpc-postgres-1,0.03%,62.34MiB,2.355GiB,2.59%
1783331079,iotprojectmpc-n8n-1,0.44%,417.7MiB,2.355GiB,17.33%
1783331079,iotprojectmpc-postgres-1,0.43%,60.57MiB,2.355GiB,2.51%
1783331084,iotprojectmpc-n8n-1,5.45%,417.8MiB,2.355GiB,17.33%
1783331084,iotprojectmpc-postgres-1,0.95%,60.67MiB,2.355GiB,2.52%
1783331088,iotprojectmpc-n8n-1,4.33%,418MiB,2.355GiB,17.34%
1783331088,iotprojectmpc-postgres-1,1.70%,62.34MiB,2.355GiB,2.59%
1783331093,iotprojectmpc-n8n-1,0.20%,419.2MiB,2.355GiB,17.39%
1783331093,iotprojectmpc-postgres-1,0.89%,62.34MiB,2.355GiB,2.59%
1783331097,iotprojectmpc-n8n-1,5.10%,419.6MiB,2.355GiB,17.40%
1783331097,iotprojectmpc-postgres-1,0.93%,60.56MiB,2.355GiB,2.51%
1783331101,iotprojectmpc-n8n-1,0.29%,420.6MiB,2.355GiB,17.45%
1783331101,iotprojectmpc-postgres-1,0.02%,62.35MiB,2.355GiB,2.59%
1783331105,iotprojectmpc-n8n-1,6.70%,421.2MiB,2.355GiB,17.47%
1783331105,iotprojectmpc-postgres-1,0.00%,62.35MiB,2.355GiB,2.59%
1783331110,iotprojectmpc-n8n-1,2.74%,422.6MiB,2.355GiB,17.53%
1783331110,iotprojectmpc-postgres-1,0.00%,62.35MiB,2.355GiB,2.59%
1783331114,iotprojectmpc-n8n-1,2.04%,422.9MiB,2.355GiB,17.54%
1783331114,iotprojectmpc-postgres-1,1.75%,62.34MiB,2.355GiB,2.59%
1783331119,iotprojectmpc-n8n-1,121.49%,575.6MiB,2.355GiB,23.87%
1783331119,iotprojectmpc-postgres-1,2.25%,62.35MiB,2.355GiB,2.59%
