ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783373666,iotprojectmpc-n8n-1,11.84%,535.4MiB,2.355GiB,22.21%
1783373666,iotprojectmpc-postgres-1,1.57%,34.46MiB,2.355GiB,1.43%
1783373670,iotprojectmpc-n8n-1,0.60%,535.4MiB,2.355GiB,22.20%
1783373670,iotprojectmpc-postgres-1,1.68%,34.47MiB,2.355GiB,1.43%
1783373675,iotprojectmpc-n8n-1,6.05%,550.3MiB,2.355GiB,22.82%
1783373675,iotprojectmpc-postgres-1,1.80%,34.48MiB,2.355GiB,1.43%
1783373679,iotprojectmpc-n8n-1,0.38%,550.3MiB,2.355GiB,22.82%
1783373679,iotprojectmpc-postgres-1,0.02%,34.47MiB,2.355GiB,1.43%
1783373684,iotprojectmpc-n8n-1,6.47%,412.2MiB,2.355GiB,17.09%
1783373684,iotprojectmpc-postgres-1,1.37%,32.75MiB,2.355GiB,1.36%
1783373689,iotprojectmpc-n8n-1,4.66%,412.2MiB,2.355GiB,17.10%
1783373689,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783373693,iotprojectmpc-n8n-1,4.47%,412.3MiB,2.355GiB,17.10%
1783373693,iotprojectmpc-postgres-1,0.03%,32.71MiB,2.355GiB,1.36%
1783373698,iotprojectmpc-n8n-1,4.30%,413MiB,2.355GiB,17.13%
1783373698,iotprojectmpc-postgres-1,0.02%,32.71MiB,2.355GiB,1.36%
1783373702,iotprojectmpc-n8n-1,3.65%,412.8MiB,2.355GiB,17.12%
1783373702,iotprojectmpc-postgres-1,0.02%,32.71MiB,2.355GiB,1.36%
1783373707,iotprojectmpc-n8n-1,5.19%,412.9MiB,2.355GiB,17.13%
1783373707,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783373711,iotprojectmpc-n8n-1,3.68%,412.1MiB,2.355GiB,17.09%
1783373711,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783373716,iotprojectmpc-n8n-1,4.07%,412.2MiB,2.355GiB,17.09%
1783373716,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783373721,iotprojectmpc-n8n-1,4.33%,414.2MiB,2.355GiB,17.18%
1783373721,iotprojectmpc-postgres-1,1.23%,32.71MiB,2.355GiB,1.36%
1783373725,iotprojectmpc-n8n-1,7.27%,418.4MiB,2.355GiB,17.35%
1783373725,iotprojectmpc-postgres-1,0.72%,34.65MiB,2.355GiB,1.44%
1783373730,iotprojectmpc-n8n-1,4.89%,419.1MiB,2.355GiB,17.38%
1783373730,iotprojectmpc-postgres-1,0.01%,34.65MiB,2.355GiB,1.44%
1783373734,iotprojectmpc-n8n-1,4.86%,419.3MiB,2.355GiB,17.39%
1783373734,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783373738,iotprojectmpc-n8n-1,5.15%,419.8MiB,2.355GiB,17.41%
1783373738,iotprojectmpc-postgres-1,0.01%,32.71MiB,2.355GiB,1.36%
1783373742,iotprojectmpc-n8n-1,4.52%,419.7MiB,2.355GiB,17.41%
1783373742,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783373747,iotprojectmpc-n8n-1,5.20%,419.9MiB,2.355GiB,17.41%
1783373747,iotprojectmpc-postgres-1,1.09%,32.71MiB,2.355GiB,1.36%
1783373752,iotprojectmpc-n8n-1,4.35%,420MiB,2.355GiB,17.42%
1783373752,iotprojectmpc-postgres-1,1.45%,32.71MiB,2.355GiB,1.36%
1783373756,iotprojectmpc-n8n-1,4.22%,419.8MiB,2.355GiB,17.41%
1783373756,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783373760,iotprojectmpc-n8n-1,4.52%,419.9MiB,2.355GiB,17.42%
1783373760,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783373764,iotprojectmpc-n8n-1,4.84%,420.6MiB,2.355GiB,17.44%
1783373764,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783373769,iotprojectmpc-n8n-1,6.27%,422.8MiB,2.355GiB,17.54%
1783373769,iotprojectmpc-postgres-1,0.00%,34.66MiB,2.355GiB,1.44%
1783373773,iotprojectmpc-n8n-1,5.19%,423.8MiB,2.355GiB,17.58%
1783373773,iotprojectmpc-postgres-1,0.00%,34.66MiB,2.355GiB,1.44%
1783373778,iotprojectmpc-n8n-1,5.24%,423.6MiB,2.355GiB,17.57%
1783373778,iotprojectmpc-postgres-1,0.01%,32.71MiB,2.355GiB,1.36%
1783373783,iotprojectmpc-n8n-1,6.08%,424.9MiB,2.355GiB,17.62%
1783373783,iotprojectmpc-postgres-1,0.03%,34.46MiB,2.355GiB,1.43%
1783373787,iotprojectmpc-n8n-1,4.31%,425.8MiB,2.355GiB,17.66%
1783373787,iotprojectmpc-postgres-1,1.58%,34.48MiB,2.355GiB,1.43%
1783373792,iotprojectmpc-n8n-1,3.55%,428.6MiB,2.355GiB,17.78%
1783373792,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783373796,iotprojectmpc-n8n-1,4.96%,429MiB,2.355GiB,17.79%
1783373796,iotprojectmpc-postgres-1,0.03%,32.71MiB,2.355GiB,1.36%
1783373801,iotprojectmpc-n8n-1,5.07%,429.7MiB,2.355GiB,17.82%
1783373801,iotprojectmpc-postgres-1,0.02%,32.71MiB,2.355GiB,1.36%
1783373805,iotprojectmpc-n8n-1,4.34%,429.5MiB,2.355GiB,17.81%
1783373805,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783373810,iotprojectmpc-n8n-1,3.99%,429.6MiB,2.355GiB,17.82%
1783373810,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783373814,iotprojectmpc-n8n-1,4.96%,429.9MiB,2.355GiB,17.83%
1783373814,iotprojectmpc-postgres-1,0.02%,32.7MiB,2.355GiB,1.36%
1783373818,iotprojectmpc-n8n-1,5.14%,429.7MiB,2.355GiB,17.82%
1783373818,iotprojectmpc-postgres-1,0.01%,32.71MiB,2.355GiB,1.36%
1783373823,iotprojectmpc-n8n-1,5.06%,429.7MiB,2.355GiB,17.82%
1783373823,iotprojectmpc-postgres-1,0.02%,32.7MiB,2.355GiB,1.36%
1783373827,iotprojectmpc-n8n-1,14.44%,429.7MiB,2.355GiB,17.82%
1783373827,iotprojectmpc-postgres-1,1.85%,32.71MiB,2.355GiB,1.36%
1783373832,iotprojectmpc-n8n-1,0.33%,430.3MiB,2.355GiB,17.85%
1783373832,iotprojectmpc-postgres-1,2.25%,34.76MiB,2.355GiB,1.44%
1783373835,iotprojectmpc-n8n-1,16.15%,431.5MiB,2.355GiB,17.90%
1783373835,iotprojectmpc-postgres-1,0.09%,34.65MiB,2.355GiB,1.44%
1783373840,iotprojectmpc-n8n-1,4.06%,431.8MiB,2.355GiB,17.91%
1783373840,iotprojectmpc-postgres-1,0.02%,34.66MiB,2.355GiB,1.44%
1783373845,iotprojectmpc-n8n-1,4.70%,431.8MiB,2.355GiB,17.91%
1783373845,iotprojectmpc-postgres-1,0.72%,34.66MiB,2.355GiB,1.44%
1783373849,iotprojectmpc-n8n-1,3.78%,431.5MiB,2.355GiB,17.90%
1783373849,iotprojectmpc-postgres-1,0.00%,32.7MiB,2.355GiB,1.36%
1783373853,iotprojectmpc-n8n-1,4.92%,431.7MiB,2.355GiB,17.91%
1783373853,iotprojectmpc-postgres-1,1.78%,32.71MiB,2.355GiB,1.36%
1783373857,iotprojectmpc-n8n-1,3.70%,431.7MiB,2.355GiB,17.91%
1783373857,iotprojectmpc-postgres-1,0.01%,32.71MiB,2.355GiB,1.36%
1783373862,iotprojectmpc-n8n-1,4.31%,432MiB,2.355GiB,17.92%
1783373862,iotprojectmpc-postgres-1,0.02%,34.62MiB,2.355GiB,1.44%
1783373866,iotprojectmpc-n8n-1,4.83%,431.8MiB,2.355GiB,17.91%
1783373866,iotprojectmpc-postgres-1,0.02%,34.63MiB,2.355GiB,1.44%
1783373870,iotprojectmpc-n8n-1,3.57%,432.1MiB,2.355GiB,17.92%
1783373870,iotprojectmpc-postgres-1,0.36%,32.7MiB,2.355GiB,1.36%
1783373875,iotprojectmpc-n8n-1,3.71%,432MiB,2.355GiB,17.92%
1783373875,iotprojectmpc-postgres-1,0.00%,32.7MiB,2.355GiB,1.36%
1783373879,iotprojectmpc-n8n-1,4.40%,431.9MiB,2.355GiB,17.91%
1783373879,iotprojectmpc-postgres-1,0.02%,32.71MiB,2.355GiB,1.36%
1783373884,iotprojectmpc-n8n-1,4.91%,436MiB,2.355GiB,18.08%
1783373884,iotprojectmpc-postgres-1,0.10%,34.63MiB,2.355GiB,1.44%
1783373888,iotprojectmpc-n8n-1,1.08%,436MiB,2.355GiB,18.08%
1783373888,iotprojectmpc-postgres-1,0.00%,34.63MiB,2.355GiB,1.44%
