ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783329844,iotprojectmpc-n8n-1,74.59%,516.7MiB,2.355GiB,21.43%
1783329844,iotprojectmpc-postgres-1,0.00%,62.27MiB,2.355GiB,2.58%
1783329849,iotprojectmpc-n8n-1,19.23%,484.5MiB,2.355GiB,20.10%
1783329849,iotprojectmpc-postgres-1,0.58%,62.27MiB,2.355GiB,2.58%
1783329852,iotprojectmpc-n8n-1,6.85%,489.7MiB,2.355GiB,20.31%
1783329852,iotprojectmpc-postgres-1,0.03%,62.27MiB,2.355GiB,2.58%
1783329857,iotprojectmpc-n8n-1,13.17%,509MiB,2.355GiB,21.11%
1783329857,iotprojectmpc-postgres-1,1.04%,62.28MiB,2.355GiB,2.58%
1783329861,iotprojectmpc-n8n-1,7.51%,410.8MiB,2.355GiB,17.04%
1783329861,iotprojectmpc-postgres-1,1.98%,62.28MiB,2.355GiB,2.58%
1783329866,iotprojectmpc-n8n-1,0.15%,413.5MiB,2.355GiB,17.15%
1783329866,iotprojectmpc-postgres-1,1.93%,60.51MiB,2.355GiB,2.51%
1783329870,iotprojectmpc-n8n-1,7.43%,412MiB,2.355GiB,17.09%
1783329870,iotprojectmpc-postgres-1,0.03%,62.27MiB,2.355GiB,2.58%
1783329875,iotprojectmpc-n8n-1,7.54%,413.9MiB,2.355GiB,17.17%
1783329875,iotprojectmpc-postgres-1,0.02%,62.27MiB,2.355GiB,2.58%
1783329880,iotprojectmpc-n8n-1,7.50%,413.9MiB,2.355GiB,17.16%
1783329880,iotprojectmpc-postgres-1,0.02%,60.5MiB,2.355GiB,2.51%
1783329884,iotprojectmpc-n8n-1,5.15%,414.1MiB,2.355GiB,17.17%
1783329884,iotprojectmpc-postgres-1,0.60%,60.51MiB,2.355GiB,2.51%
1783329889,iotprojectmpc-n8n-1,4.41%,414.3MiB,2.355GiB,17.18%
1783329889,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783329892,iotprojectmpc-n8n-1,5.29%,414.7MiB,2.355GiB,17.20%
1783329892,iotprojectmpc-postgres-1,0.62%,60.74MiB,2.355GiB,2.52%
1783329897,iotprojectmpc-n8n-1,4.88%,415MiB,2.355GiB,17.21%
1783329897,iotprojectmpc-postgres-1,0.02%,60.5MiB,2.355GiB,2.51%
1783329901,iotprojectmpc-n8n-1,4.92%,415.2MiB,2.355GiB,17.22%
1783329901,iotprojectmpc-postgres-1,1.44%,60.5MiB,2.355GiB,2.51%
1783329906,iotprojectmpc-n8n-1,4.07%,414.6MiB,2.355GiB,17.20%
1783329906,iotprojectmpc-postgres-1,0.92%,60.5MiB,2.355GiB,2.51%
1783329911,iotprojectmpc-n8n-1,5.56%,414.4MiB,2.355GiB,17.19%
1783329911,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783329914,iotprojectmpc-n8n-1,6.12%,414.9MiB,2.355GiB,17.21%
1783329914,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783329919,iotprojectmpc-n8n-1,5.83%,415.1MiB,2.355GiB,17.22%
1783329919,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783329923,iotprojectmpc-n8n-1,6.15%,416.9MiB,2.355GiB,17.29%
1783329923,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783329927,iotprojectmpc-n8n-1,5.14%,417.9MiB,2.355GiB,17.33%
1783329927,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783329931,iotprojectmpc-n8n-1,7.18%,417.9MiB,2.355GiB,17.33%
1783329931,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783329936,iotprojectmpc-n8n-1,6.23%,418MiB,2.355GiB,17.34%
1783329936,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783329940,iotprojectmpc-n8n-1,6.04%,418.4MiB,2.355GiB,17.35%
1783329940,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
